Pathway,Gene,EnsemblID
apoptosis,Raf1,ENSMUSG00000000441
apoptosis,Actb,ENSMUSG00000029580
apoptosis,Actg1,ENSMUSG00000062825
apoptosis,Parp1,ENSMUSG00000026496
apoptosis,Parp2,ENSMUSG00000036023
apoptosis,Akt1,ENSMUSG00000001729
apoptosis,Akt2,ENSMUSG00000004056
apoptosis,Apaf1,ENSMUSG00000019979
apoptosis,Birc3,ENSMUSG00000032000
apoptosis,Birc2,ENSMUSG00000057367
apoptosis,Xiap,ENSMUSG00000025860
apoptosis,Birc5,ENSMUSG00000017716
apoptosis,Atf4,ENSMUSG00000042406
apoptosis,Atm,ENSMUSG00000034218
apoptosis,Bad,ENSMUSG00000024959
apoptosis,Bak1,ENSMUSG00000057789
apoptosis,Bax,ENSMUSG00000003873
apoptosis,Bcl2,ENSMUSG00000057329
apoptosis,Bcl2a1a,ENSMUSG00000102037
apoptosis,Bcl2a1b,ENSMUSG00000089929
apoptosis,Bcl2a1c,ENSMUSG00000053820
apoptosis,Bcl2a1d,ENSMUSG00000099974
apoptosis,Bcl2l1,ENSMUSG00000007659
apoptosis,Bid,ENSMUSG00000004446
apoptosis,Hrk,ENSMUSG00000046607
apoptosis,Bcl2l11,ENSMUSG00000027381
apoptosis,Capn1,ENSMUSG00000024942
apoptosis,Capn2,ENSMUSG00000026509
apoptosis,Casp12,ENSMUSG00000025887
apoptosis,Casp2,ENSMUSG00000029863
apoptosis,Casp6,ENSMUSG00000027997
apoptosis,Casp7,ENSMUSG00000025076
apoptosis,Casp8,ENSMUSG00000026029
apoptosis,Casp9,ENSMUSG00000028914
apoptosis,Cflar,ENSMUSG00000026031
apoptosis,Chuk,ENSMUSG00000025199
apoptosis,Csf2rb,ENSMUSG00000071713
apoptosis,Csf2rb2,ENSMUSG00000071714
apoptosis,Ctsb,ENSMUSG00000021939
apoptosis,Ctsc,ENSMUSG00000030560
apoptosis,Ctsd,ENSMUSG00000007891
apoptosis,Ctsh,ENSMUSG00000032359
apoptosis,Ctsk,ENSMUSG00000028111
apoptosis,Ctsl,ENSMUSG00000021477
apoptosis,Ctss,ENSMUSG00000038642
apoptosis,Ctsw,ENSMUSG00000024910
apoptosis,Cycs,ENSMUSG00000063694
apoptosis,Cyct,ENSMUSG00000056436
apoptosis,Daxx,ENSMUSG00000002307
apoptosis,Gadd45a,ENSMUSG00000036390
apoptosis,Ddit3,ENSMUSG00000025408
apoptosis,Dffa,ENSMUSG00000028974
apoptosis,Dffb,ENSMUSG00000029027
apoptosis,Eif2s1,ENSMUSG00000021116
apoptosis,Eif2ak3,ENSMUSG00000031668
apoptosis,Endog,ENSMUSG00000015337
apoptosis,Fas,ENSMUSG00000024778
apoptosis,Fasl,ENSMUSG00000000817
apoptosis,Fos,ENSMUSG00000021250
apoptosis,Gzmb,ENSMUSG00000015437
apoptosis,Hras,ENSMUSG00000025499
apoptosis,Ikbkb,ENSMUSG00000031537
apoptosis,Ikbkg,ENSMUSG00000004221
apoptosis,Il3ra,ENSMUSG00000068758
apoptosis,Itpr1,ENSMUSG00000030102
apoptosis,Itpr2,ENSMUSG00000030287
apoptosis,Itpr3,ENSMUSG00000042644
apoptosis,Jun,ENSMUSG00000052684
apoptosis,Kras,ENSMUSG00000030265
apoptosis,Lmna,ENSMUSG00000028063
apoptosis,Lmnb1,ENSMUSG00000024590
apoptosis,Lmnb2,ENSMUSG00000062075
apoptosis,Bbc3,ENSMUSG00000002083
apoptosis,Mcl1,ENSMUSG00000038612
apoptosis,Gadd45b,ENSMUSG00000015312
apoptosis,Nfkb1,ENSMUSG00000028163
apoptosis,Nfkbia,ENSMUSG00000021025
apoptosis,Ngf,ENSMUSG00000027859
apoptosis,Nras,ENSMUSG00000027852
apoptosis,Ntrk1,ENSMUSG00000028072
apoptosis,Pdpk1,ENSMUSG00000024122
apoptosis,Prf1,ENSMUSG00000037202
apoptosis,Pik3ca,ENSMUSG00000027665
apoptosis,Pik3cd,ENSMUSG00000039936
apoptosis,Pik3r1,ENSMUSG00000041417
apoptosis,Pik3r2,ENSMUSG00000031834
apoptosis,Pik3r3,ENSMUSG00000028698
apoptosis,Sept4,ENSMUSG00000020486
apoptosis,Ptpn13,ENSMUSG00000034573
apoptosis,Rela,ENSMUSG00000024927
apoptosis,Ripk1,ENSMUSG00000021408
apoptosis,Spta1,ENSMUSG00000026532
apoptosis,Sptan1,ENSMUSG00000057738
apoptosis,Tnf,ENSMUSG00000024401
apoptosis,Tnfrsf10b,ENSMUSG00000022074
apoptosis,Tnfrsf1a,ENSMUSG00000030341
apoptosis,Traf1,ENSMUSG00000026875
apoptosis,Traf2,ENSMUSG00000026942
apoptosis,Tnfsf10,ENSMUSG00000039304
apoptosis,Trp53,ENSMUSG00000059552
apoptosis,Tuba1a,ENSMUSG00000072235
apoptosis,Tuba1b,ENSMUSG00000023004
apoptosis,Tuba3a,ENSMUSG00000067702
apoptosis,Tuba4a,ENSMUSG00000026202
apoptosis,Tuba1c,ENSMUSG00000043091
apoptosis,Tuba3b,ENSMUSG00000067338
apoptosis,Ctso,ENSMUSG00000028015
apoptosis,Parp3,ENSMUSG00000023249
apoptosis,Akt3,ENSMUSG00000019699
apoptosis,Tubal3,ENSMUSG00000021216
apoptosis,Gadd45g,ENSMUSG00000021453
apoptosis,Map2k1,ENSMUSG00000004936
