Pathway,Gene,EnsemblID
toxoplasmosis,Ppif,ENSMUSG00000021868
toxoplasmosis,Akt1,ENSMUSG00000001729
toxoplasmosis,Akt2,ENSMUSG00000004056
toxoplasmosis,Alox5,ENSMUSG00000025701
toxoplasmosis,Birc3,ENSMUSG00000032000
toxoplasmosis,Birc2,ENSMUSG00000057367
toxoplasmosis,Xiap,ENSMUSG00000025860
toxoplasmosis,Bad,ENSMUSG00000024959
toxoplasmosis,Bcl2,ENSMUSG00000057329
toxoplasmosis,Bcl2l1,ENSMUSG00000007659
toxoplasmosis,Ciita,ENSMUSG00000022504
toxoplasmosis,Casp8,ENSMUSG00000026029
toxoplasmosis,Casp9,ENSMUSG00000028914
toxoplasmosis,Chuk,ENSMUSG00000025199
toxoplasmosis,Socs1,ENSMUSG00000038037
toxoplasmosis,Ccr5,ENSMUSG00000079227
toxoplasmosis,Cycs,ENSMUSG00000063694
toxoplasmosis,Cyct,ENSMUSG00000056436
toxoplasmosis,Gnai1,ENSMUSG00000057614
toxoplasmosis,Gnai2,ENSMUSG00000032562
toxoplasmosis,Gnai3,ENSMUSG00000000001
toxoplasmosis,Gnao1,ENSMUSG00000031748
toxoplasmosis,H2-Aa,ENSMUSG00000036594
toxoplasmosis,H2-Ab1,ENSMUSG00000073421
toxoplasmosis,H2-DMa,ENSMUSG00000037649
toxoplasmosis,H2-DMb1,ENSMUSG00000079547
toxoplasmosis,H2-Oa,ENSMUSG00000024334
toxoplasmosis,H2-Ob,ENSMUSG00000041538
toxoplasmosis,Hspa8,ENSMUSG00000015656
toxoplasmosis,Hspa1l,ENSMUSG00000007033
toxoplasmosis,Hspa1b,ENSMUSG00000090877
toxoplasmosis,Hspa2,ENSMUSG00000059970
toxoplasmosis,Irgm1,ENSMUSG00000046879
toxoplasmosis,Ifng,ENSMUSG00000055170
toxoplasmosis,Ifngr1,ENSMUSG00000020009
toxoplasmosis,Igtp,ENSMUSG00000078853
toxoplasmosis,Ikbkb,ENSMUSG00000031537
toxoplasmosis,Ikbkg,ENSMUSG00000004221
toxoplasmosis,Il10,ENSMUSG00000016529
toxoplasmosis,Il10ra,ENSMUSG00000032089
toxoplasmosis,Il10rb,ENSMUSG00000022969
toxoplasmosis,Il12a,ENSMUSG00000027776
toxoplasmosis,Irak1,ENSMUSG00000031392
toxoplasmosis,Itgb1,ENSMUSG00000025809
toxoplasmosis,Jak1,ENSMUSG00000028530
toxoplasmosis,Jak2,ENSMUSG00000024789
