Pathway,Gene,EnsemblID
non.homologous.end.joining,Xrcc4,ENSMUSG00000021615
non.homologous.end.joining,Fen1,ENSMUSG00000024742
non.homologous.end.joining,Xrcc6,ENSMUSG00000022471
non.homologous.end.joining,Mre11a,ENSMUSG00000031928
non.homologous.end.joining,Prkdc,ENSMUSG00000022672
non.homologous.end.joining,Rad50,ENSMUSG00000020380
non.homologous.end.joining,Dntt,ENSMUSG00000025014
non.homologous.end.joining,Xrcc5,ENSMUSG00000026187
non.homologous.end.joining,Dclre1c,ENSMUSG00000026648
non.homologous.end.joining,Lig4,ENSMUSG00000049717
non.homologous.end.joining,Polm,ENSMUSG00000020474
non.homologous.end.joining,Poll,ENSMUSG00000025218
