Pathway,Gene,EnsemblID
tuberculosis,Camk2d,ENSMUSG00000053819
tuberculosis,Atp6v1h,ENSMUSG00000033793
tuberculosis,Irak2,ENSMUSG00000060477
tuberculosis,Raf1,ENSMUSG00000000441
tuberculosis,Atp6v0b,ENSMUSG00000033379
tuberculosis,Akt1,ENSMUSG00000001729
tuberculosis,Akt2,ENSMUSG00000004056
tuberculosis,Tirap,ENSMUSG00000032041
tuberculosis,Apaf1,ENSMUSG00000019979
tuberculosis,Rhoa,ENSMUSG00000007815
tuberculosis,Atp6v0d1,ENSMUSG00000013160
tuberculosis,Atp6v0a1,ENSMUSG00000019302
tuberculosis,Atp6v0c,ENSMUSG00000024121
tuberculosis,Bad,ENSMUSG00000024959
tuberculosis,Bax,ENSMUSG00000003873
tuberculosis,Bcl10,ENSMUSG00000028191
tuberculosis,Bcl2,ENSMUSG00000057329
tuberculosis,Bid,ENSMUSG00000004446
tuberculosis,Ciita,ENSMUSG00000022504
tuberculosis,C3,ENSMUSG00000024164
tuberculosis,Calm1,ENSMUSG00000001175
tuberculosis,Calm2,ENSMUSG00000036438
tuberculosis,Calm3,ENSMUSG00000019370
tuberculosis,Camk2a,ENSMUSG00000024617
tuberculosis,Camk2b,ENSMUSG00000057897
tuberculosis,Camk2g,ENSMUSG00000021820
tuberculosis,Casp8,ENSMUSG00000026029
tuberculosis,Casp9,ENSMUSG00000028914
tuberculosis,Cd14,ENSMUSG00000051439
tuberculosis,Cebpb,ENSMUSG00000056501
tuberculosis,Cebpg,ENSMUSG00000056216
tuberculosis,Coro1a,ENSMUSG00000030707
tuberculosis,Plk3,ENSMUSG00000028680
tuberculosis,Creb1,ENSMUSG00000025958
tuberculosis,Crebbp,ENSMUSG00000022521
tuberculosis,Ctsd,ENSMUSG00000007891
tuberculosis,Ctss,ENSMUSG00000038642
tuberculosis,Cycs,ENSMUSG00000063694
tuberculosis,Cyct,ENSMUSG00000056436
tuberculosis,Cyp27b1,ENSMUSG00000006724
tuberculosis,Atp6v0a4,ENSMUSG00000038600
tuberculosis,Fcer1g,ENSMUSG00000058715
tuberculosis,Fcgr1,ENSMUSG00000015947
tuberculosis,Fcgr2b,ENSMUSG00000026656
tuberculosis,Fcgr3,ENSMUSG00000059498
tuberculosis,H2-Aa,ENSMUSG00000036594
tuberculosis,H2-Ab1,ENSMUSG00000073421
tuberculosis,H2-DMa,ENSMUSG00000037649
tuberculosis,H2-DMb1,ENSMUSG00000079547
tuberculosis,H2-Oa,ENSMUSG00000024334
tuberculosis,H2-Ob,ENSMUSG00000041538
tuberculosis,Hspd1,ENSMUSG00000025980
tuberculosis,Hspa9,ENSMUSG00000024359
tuberculosis,Ifna1,ENSMUSG00000095498
tuberculosis,Ifna11,ENSMUSG00000100549
tuberculosis,Ifna4,ENSMUSG00000070904
tuberculosis,Ifna5,ENSMUSG00000096682
tuberculosis,Ifna6,ENSMUSG00000101252
tuberculosis,Ifna7,ENSMUSG00000100713
tuberculosis,Ifna9,ENSMUSG00000095270
tuberculosis,Ifnb1,ENSMUSG00000048806
tuberculosis,Ifng,ENSMUSG00000055170
tuberculosis,Ifngr1,ENSMUSG00000020009
tuberculosis,Cd74,ENSMUSG00000024610
tuberculosis,Il10,ENSMUSG00000016529
tuberculosis,Il10ra,ENSMUSG00000032089
tuberculosis,Il10rb,ENSMUSG00000022969
tuberculosis,Il12a,ENSMUSG00000027776
tuberculosis,Il18,ENSMUSG00000039217
tuberculosis,Il1a,ENSMUSG00000027399
tuberculosis,Il1b,ENSMUSG00000027398
tuberculosis,Irak1,ENSMUSG00000031392
tuberculosis,Il6,ENSMUSG00000025746
tuberculosis,RP23-144N15.4,ENSMUSG00000108596
tuberculosis,Itgax,ENSMUSG00000030789
tuberculosis,Itgb2,ENSMUSG00000000290
tuberculosis,Itgb2l,ENSMUSG00000000157
tuberculosis,Jak1,ENSMUSG00000028530
tuberculosis,Jak2,ENSMUSG00000024789
tuberculosis,Ksr1,ENSMUSG00000018334
tuberculosis,Lamp1,ENSMUSG00000031447
tuberculosis,Lamp2,ENSMUSG00000016534
tuberculosis,Lbp,ENSMUSG00000016024
tuberculosis,Lsp1,ENSMUSG00000018819
tuberculosis,Rfxap,ENSMUSG00000036615
tuberculosis,Cd209c,ENSMUSG00000040165
tuberculosis,Cd209d,ENSMUSG00000031495
tuberculosis,Cd209e,ENSMUSG00000040197
tuberculosis,Cd209a,ENSMUSG00000031494
tuberculosis,Mrc1,ENSMUSG00000026712
tuberculosis,Mrc2,ENSMUSG00000020695
tuberculosis,Myd88,ENSMUSG00000032508
tuberculosis,Nfkb1,ENSMUSG00000028163
tuberculosis,Nfya,ENSMUSG00000023994
tuberculosis,Nfyb,ENSMUSG00000020248
tuberculosis,Nfyc,ENSMUSG00000032897
tuberculosis,Nos2,ENSMUSG00000020826
tuberculosis,Pla2r1,ENSMUSG00000054580
tuberculosis,Ppp3ca,ENSMUSG00000028161
tuberculosis,Ppp3cb,ENSMUSG00000021816
tuberculosis,Ppp3cc,ENSMUSG00000022092
tuberculosis,Ppp3r1,ENSMUSG00000033953
tuberculosis,Ppp3r2,ENSMUSG00000028310
tuberculosis,Mapk11,ENSMUSG00000053137
tuberculosis,Ripk2,ENSMUSG00000041135
tuberculosis,Rab5b,ENSMUSG00000000711
tuberculosis,Rab5c,ENSMUSG00000019173
tuberculosis,Rab7,ENSMUSG00000079477
tuberculosis,Rela,ENSMUSG00000024927
tuberculosis,Rfxank,ENSMUSG00000036120
tuberculosis,Sphk1,ENSMUSG00000061878
tuberculosis,Src,ENSMUSG00000027646
tuberculosis,Stat1,ENSMUSG00000026104
tuberculosis,Syk,ENSMUSG00000021457
tuberculosis,Eea1,ENSMUSG00000036499
tuberculosis,Tgfb1,ENSMUSG00000002603
tuberculosis,Tgfb2,ENSMUSG00000039239
tuberculosis,Tgfb3,ENSMUSG00000021253
tuberculosis,Atp6v0a2,ENSMUSG00000038023
tuberculosis,Tlr1,ENSMUSG00000044827
tuberculosis,Tlr4,ENSMUSG00000039005
tuberculosis,Tlr6,ENSMUSG00000051498
tuberculosis,Tnf,ENSMUSG00000024401
tuberculosis,Tnfrsf1a,ENSMUSG00000030341
tuberculosis,Traf6,ENSMUSG00000027164
tuberculosis,Vdr,ENSMUSG00000022479
tuberculosis,Pik3c3,ENSMUSG00000033628
tuberculosis,Ifna13,ENSMUSG00000063376
tuberculosis,Akt3,ENSMUSG00000019699
tuberculosis,Malt1,ENSMUSG00000032688
tuberculosis,Tlr2,ENSMUSG00000027995
tuberculosis,Atp6v0d2,ENSMUSG00000028238
tuberculosis,Ifna15,ENSMUSG00000096011
tuberculosis,Ifna12,ENSMUSG00000073811
tuberculosis,Fcgr4,ENSMUSG00000059089
tuberculosis,Nod2,ENSMUSG00000055994
tuberculosis,Mapk1,ENSMUSG00000063358
tuberculosis,Mapk10,ENSMUSG00000046709
tuberculosis,Mapk13,ENSMUSG00000004864
tuberculosis,Mapk14,ENSMUSG00000053436
tuberculosis,Mapk3,ENSMUSG00000063065
tuberculosis,Mapk8,ENSMUSG00000021936
tuberculosis,Mapk9,ENSMUSG00000020366
tuberculosis,Irak4,ENSMUSG00000059883
tuberculosis,Tcirg1,ENSMUSG00000001750
tuberculosis,Rab5a,ENSMUSG00000017831
tuberculosis,Mapk12,ENSMUSG00000022610
tuberculosis,Ep300,ENSMUSG00000055024
tuberculosis,Card9,ENSMUSG00000026928
tuberculosis,Ifna14,ENSMUSG00000095896
tuberculosis,Rfx5,ENSMUSG00000005774
tuberculosis,Atp6ap1,ENSMUSG00000019087
tuberculosis,Clec4e,ENSMUSG00000030142
tuberculosis,Sphk2,ENSMUSG00000057342
tuberculosis,Clec7a,ENSMUSG00000079293
tuberculosis,RP24-82B18.3,ENSMUSG00000036463
tuberculosis,Cd209f,ENSMUSG00000051906
tuberculosis,Cd209b,ENSMUSG00000065987
tuberculosis,Arhgef12,ENSMUSG00000059495
tuberculosis,Cd209g,ENSMUSG00000079168
tuberculosis,Calml3,ENSMUSG00000063130
tuberculosis,Tradd,ENSMUSG00000031887
tuberculosis,Calm4,ENSMUSG00000033765
tuberculosis,Tlr9,ENSMUSG00000045322
tuberculosis,Il23a,ENSMUSG00000025383
