Pathway,Gene,EnsemblID
melanogenesis,Adcy4,ENSMUSG00000022220
melanogenesis,Adcy3,ENSMUSG00000020654
melanogenesis,Camk2d,ENSMUSG00000053819
melanogenesis,Raf1,ENSMUSG00000000441
melanogenesis,Adcy6,ENSMUSG00000022994
melanogenesis,Adcy7,ENSMUSG00000031659
melanogenesis,Adcy8,ENSMUSG00000022376
melanogenesis,Calm1,ENSMUSG00000001175
melanogenesis,Calm2,ENSMUSG00000036438
melanogenesis,Calm3,ENSMUSG00000019370
melanogenesis,Camk2a,ENSMUSG00000024617
melanogenesis,Camk2b,ENSMUSG00000057897
melanogenesis,Camk2g,ENSMUSG00000021820
melanogenesis,Ctnnb1,ENSMUSG00000006932
melanogenesis,Creb1,ENSMUSG00000025958
melanogenesis,Creb3,ENSMUSG00000028466
melanogenesis,Crebbp,ENSMUSG00000022521
melanogenesis,Dct,ENSMUSG00000022129
melanogenesis,Dvl1,ENSMUSG00000029071
melanogenesis,Dvl2,ENSMUSG00000020888
melanogenesis,Dvl3,ENSMUSG00000003233
melanogenesis,Edn1,ENSMUSG00000021367
melanogenesis,Ednrb,ENSMUSG00000022122
melanogenesis,Fzd1,ENSMUSG00000044674
melanogenesis,Fzd5,ENSMUSG00000045005
melanogenesis,Fzd6,ENSMUSG00000022297
melanogenesis,Fzd7,ENSMUSG00000041075
melanogenesis,Fzd8,ENSMUSG00000036904
melanogenesis,Fzd9,ENSMUSG00000049551
melanogenesis,Gnai1,ENSMUSG00000057614
melanogenesis,Gnai2,ENSMUSG00000032562
melanogenesis,Gnai3,ENSMUSG00000000001
melanogenesis,Gnao1,ENSMUSG00000031748
melanogenesis,Gnaq,ENSMUSG00000024639
melanogenesis,Gnas,ENSMUSG00000027523
melanogenesis,Hras,ENSMUSG00000025499
melanogenesis,Kit,ENSMUSG00000005672
melanogenesis,Kras,ENSMUSG00000030265
melanogenesis,Lef1,ENSMUSG00000027985
melanogenesis,Mc1r,ENSMUSG00000074037
melanogenesis,Kitl,ENSMUSG00000019966
melanogenesis,Mitf,ENSMUSG00000035158
melanogenesis,Nras,ENSMUSG00000027852
melanogenesis,Prkaca,ENSMUSG00000005469
melanogenesis,Prkacb,ENSMUSG00000005034
melanogenesis,Prkca,ENSMUSG00000050965
melanogenesis,Prkcb,ENSMUSG00000052889
melanogenesis,Prkcg,ENSMUSG00000078816
melanogenesis,Plcb1,ENSMUSG00000051177
melanogenesis,Plcb2,ENSMUSG00000040061
melanogenesis,Plcb3,ENSMUSG00000024960
melanogenesis,Plcb4,ENSMUSG00000039943
melanogenesis,Pomc,ENSMUSG00000020660
melanogenesis,Creb3l3,ENSMUSG00000035041
melanogenesis,Wnt8a,ENSMUSG00000012282
melanogenesis,Adcy2,ENSMUSG00000021536
melanogenesis,Tcf7,ENSMUSG00000000782
melanogenesis,Tcf7l1,ENSMUSG00000055799
melanogenesis,Tcf7l2,ENSMUSG00000024985
melanogenesis,Wnt9a,ENSMUSG00000000126
melanogenesis,Tyr,ENSMUSG00000004651
melanogenesis,Tyrp1,ENSMUSG00000005994
melanogenesis,Wnt1,ENSMUSG00000022997
melanogenesis,Wnt10b,ENSMUSG00000022996
melanogenesis,Wnt11,ENSMUSG00000015957
melanogenesis,Wnt9b,ENSMUSG00000018486
melanogenesis,Wnt2,ENSMUSG00000010797
melanogenesis,Wnt2b,ENSMUSG00000027840
melanogenesis,Wnt3,ENSMUSG00000000125
melanogenesis,Wnt3a,ENSMUSG00000009900
melanogenesis,Wnt4,ENSMUSG00000036856
melanogenesis,Wnt5a,ENSMUSG00000021994
melanogenesis,Wnt5b,ENSMUSG00000030170
melanogenesis,Wnt6,ENSMUSG00000033227
melanogenesis,Wnt7a,ENSMUSG00000030093
melanogenesis,Wnt7b,ENSMUSG00000022382
melanogenesis,Wnt8b,ENSMUSG00000036961
melanogenesis,Map2k1,ENSMUSG00000004936
melanogenesis,Map2k2,ENSMUSG00000035027
melanogenesis,Mapk1,ENSMUSG00000063358
melanogenesis,Mapk3,ENSMUSG00000063065
melanogenesis,Creb3l1,ENSMUSG00000027230
melanogenesis,Ep300,ENSMUSG00000055024
melanogenesis,Adcy1,ENSMUSG00000020431
melanogenesis,a,ENSMUSG00000027596
melanogenesis,Gsk3b,ENSMUSG00000022812
melanogenesis,Fzd2,ENSMUSG00000050288
melanogenesis,Calml3,ENSMUSG00000063130
melanogenesis,Creb3l4,ENSMUSG00000027938
melanogenesis,Calm4,ENSMUSG00000033765
melanogenesis,Wnt16,ENSMUSG00000029671
melanogenesis,Fzd10,ENSMUSG00000081683
