Pathway,Gene,EnsemblID
protein.export,Srp54c,ENSMUSG00000079108
protein.export,Sec63,ENSMUSG00000019802
protein.export,Hspa5,ENSMUSG00000026864
protein.export,Sec61g,ENSMUSG00000078974
protein.export,Srp14,ENSMUSG00000009549
protein.export,Srprb,ENSMUSG00000032553
protein.export,Srp68,ENSMUSG00000020780
protein.export,Srp9,ENSMUSG00000026511
protein.export,Sec61a1,ENSMUSG00000030082
protein.export,Sec11a,ENSMUSG00000025724
protein.export,Sec61a2,ENSMUSG00000025816
protein.export,Sec61b,ENSMUSG00000053317
protein.export,Sec11c,ENSMUSG00000024516
protein.export,Srp19,ENSMUSG00000014504
protein.export,Srp54c,ENSMUSG00000079108
protein.export,Immp1l,ENSMUSG00000042670
protein.export,Spcs2,ENSMUSG00000035227
protein.export,Srp72,ENSMUSG00000036323
protein.export,Srpr,ENSMUSG00000032042
protein.export,Spcs1,ENSMUSG00000021917
protein.export,Oxa1l,ENSMUSG00000000959
protein.export,Sec62,ENSMUSG00000027706
protein.export,Arxes1,ENSMUSG00000048355
protein.export,Spcs3,ENSMUSG00000054408
protein.export,Arxes2,ENSMUSG00000048040
protein.export,Immp2l,ENSMUSG00000056899
