Pathway,Gene,EnsemblID
endocytosis,Ldlrap1,ENSMUSG00000037295
endocytosis,RP23-108F2.19,ENSMUSG00000079492
endocytosis,Dnm3,ENSMUSG00000040265
endocytosis,Chmp7,ENSMUSG00000034190
endocytosis,Rab31,ENSMUSG00000056515
endocytosis,Arap3,ENSMUSG00000024451
endocytosis,Vps37c,ENSMUSG00000048832
endocytosis,Gbf1,ENSMUSG00000025224
endocytosis,Wwp1,ENSMUSG00000041058
endocytosis,Arrb1,ENSMUSG00000018909
endocytosis,Adrbk1,ENSMUSG00000024858
endocytosis,H2-Q6,ENSMUSG00000073409
endocytosis,H2-M10.3,ENSMUSG00000058124
endocytosis,Adrb1,ENSMUSG00000035283
endocytosis,Adrb2,ENSMUSG00000045730
endocytosis,Adrb3,ENSMUSG00000031489
endocytosis,Vps4a,ENSMUSG00000031913
endocytosis,Ap2a1,ENSMUSG00000060279
endocytosis,Ap2a2,ENSMUSG00000002957
endocytosis,Ap2m1,ENSMUSG00000022841
endocytosis,Arf1,ENSMUSG00000048076
endocytosis,Arf3,ENSMUSG00000051853
endocytosis,Arf5,ENSMUSG00000020440
endocytosis,Arf6,ENSMUSG00000044147
endocytosis,Rhoa,ENSMUSG00000007815
endocytosis,Arpc1b,ENSMUSG00000029622
endocytosis,Capza1,ENSMUSG00000070372
endocytosis,Capza3,ENSMUSG00000041791
endocytosis,Capzb,ENSMUSG00000028745
endocytosis,Cav1,ENSMUSG00000007655
endocytosis,Cav2,ENSMUSG00000000058
endocytosis,Cav3,ENSMUSG00000062694
endocytosis,Cbl,ENSMUSG00000034342
endocytosis,Cdc42,ENSMUSG00000006699
endocytosis,Clta,ENSMUSG00000028478
endocytosis,Cxcr2,ENSMUSG00000026180
endocytosis,Cxcr4,ENSMUSG00000045382
endocytosis,Ccr5,ENSMUSG00000079227
endocytosis,Csf1r,ENSMUSG00000024621
endocytosis,Dab2,ENSMUSG00000022150
endocytosis,Asap1,ENSMUSG00000022377
endocytosis,Dnm1,ENSMUSG00000026825
endocytosis,Dnm2,ENSMUSG00000033335
endocytosis,Egf,ENSMUSG00000028017
endocytosis,Egfr,ENSMUSG00000020122
endocytosis,Ehd1,ENSMUSG00000024772
endocytosis,Epn1,ENSMUSG00000035203
endocytosis,Epn2,ENSMUSG00000001036
endocytosis,Eps15,ENSMUSG00000028552
endocytosis,Eps15l1,ENSMUSG00000006276
endocytosis,Erbb4,ENSMUSG00000062209
endocytosis,Acap3,ENSMUSG00000029033
endocytosis,F2r,ENSMUSG00000048376
endocytosis,Fgfr2,ENSMUSG00000030849
endocytosis,Fgfr3,ENSMUSG00000054252
endocytosis,Fgfr4,ENSMUSG00000005320
endocytosis,Flt1,ENSMUSG00000029648
endocytosis,Folr1,ENSMUSG00000001827
endocytosis,Folr2,ENSMUSG00000032725
endocytosis,Grk4,ENSMUSG00000052783
endocytosis,Grk5,ENSMUSG00000003228
endocytosis,H2-Bl,ENSMUSG00000073406
endocytosis,H2-D1,ENSMUSG00000073411
endocytosis,H2-K1,ENSMUSG00000061232
endocytosis,H2-M10.1,ENSMUSG00000024448
endocytosis,H2-M2,ENSMUSG00000016283
endocytosis,H2-M3,ENSMUSG00000016206
endocytosis,H2-M9,ENSMUSG00000067201
endocytosis,H2-Q1,ENSMUSG00000079507
endocytosis,H2-Q10,ENSMUSG00000067235
endocytosis,H2-Q2,ENSMUSG00000091705
endocytosis,H2-Q4,ENSMUSG00000035929
endocytosis,H2-Q7,ENSMUSG00000060550
endocytosis,H2-T10,ENSMUSG00000079491
endocytosis,H2-T22,ENSMUSG00000056116
endocytosis,H2-T23,ENSMUSG00000067212
endocytosis,H2-T24,ENSMUSG00000053835
endocytosis,H2-T3,ENSMUSG00000054128
endocytosis,Hgs,ENSMUSG00000025793
endocytosis,Hras,ENSMUSG00000025499
endocytosis,Hspa8,ENSMUSG00000015656
endocytosis,Hspa1l,ENSMUSG00000007033
endocytosis,Hspa1b,ENSMUSG00000090877
endocytosis,Hspa2,ENSMUSG00000059970
endocytosis,Igf1r,ENSMUSG00000005533
endocytosis,Igf2r,ENSMUSG00000023830
endocytosis,Il2ra,ENSMUSG00000026770
endocytosis,Il2rb,ENSMUSG00000068227
endocytosis,Il2rg,ENSMUSG00000031304
endocytosis,Itch,ENSMUSG00000027598
endocytosis,Kdr,ENSMUSG00000062960
endocytosis,Kif5a,ENSMUSG00000074657
endocytosis,Kif5b,ENSMUSG00000006740
endocytosis,Kif5c,ENSMUSG00000026764
endocytosis,Kit,ENSMUSG00000005672
endocytosis,Ldlr,ENSMUSG00000032193
endocytosis,Smad3,ENSMUSG00000032402
endocytosis,Mdm2,ENSMUSG00000020184
endocytosis,Met,ENSMUSG00000009376
endocytosis,Nedd4,ENSMUSG00000032216
endocytosis,Ntrk1,ENSMUSG00000028072
endocytosis,Pdcd6ip,ENSMUSG00000032504
endocytosis,Pdgfra,ENSMUSG00000029231
endocytosis,Pip5k1c,ENSMUSG00000034902
endocytosis,Pip5k1b,ENSMUSG00000024867
endocytosis,Pip5k1a,ENSMUSG00000028126
endocytosis,Prkci,ENSMUSG00000037643
endocytosis,Prkcz,ENSMUSG00000029053
endocytosis,Pld1,ENSMUSG00000027695
endocytosis,Pld2,ENSMUSG00000020828
endocytosis,Pml,ENSMUSG00000036986
endocytosis,Cyth1,ENSMUSG00000017132
endocytosis,Cyth2,ENSMUSG00000003269
endocytosis,Cyth3,ENSMUSG00000018001
endocytosis,Rab10,ENSMUSG00000020671
endocytosis,Rab11b,ENSMUSG00000077450
endocytosis,Rab4a,ENSMUSG00000019478
endocytosis,Rab5b,ENSMUSG00000000711
endocytosis,Rab5c,ENSMUSG00000019173
endocytosis,Rab7,ENSMUSG00000079477
endocytosis,Hspa1a,ENSMUSG00000091971
endocytosis,Vps37d,ENSMUSG00000043614
endocytosis,Ret,ENSMUSG00000030110
endocytosis,Sh3gl2,ENSMUSG00000028488
endocytosis,Sh3gl1,ENSMUSG00000003200
endocytosis,Src,ENSMUSG00000027646
endocytosis,Chmp6,ENSMUSG00000025371
endocytosis,Stam,ENSMUSG00000026718
endocytosis,Cblb,ENSMUSG00000022637
endocytosis,Arfgef1,ENSMUSG00000067851
endocytosis,Asap2,ENSMUSG00000052632
endocytosis,Arap2,ENSMUSG00000037999
endocytosis,Agap3,ENSMUSG00000023353
endocytosis,Wipf1,ENSMUSG00000075284
endocytosis,Rab11fip3,ENSMUSG00000037098
endocytosis,Psd4,ENSMUSG00000026979
endocytosis,Eea1,ENSMUSG00000036499
endocytosis,Agap2,ENSMUSG00000025422
endocytosis,Rufy1,ENSMUSG00000020375
endocytosis,Acap1,ENSMUSG00000001588
endocytosis,Arrb2,ENSMUSG00000060216
endocytosis,Git1,ENSMUSG00000011877
endocytosis,Tgfb1,ENSMUSG00000002603
endocytosis,Amph,ENSMUSG00000021314
endocytosis,Tgfb2,ENSMUSG00000039239
endocytosis,Tgfb3,ENSMUSG00000021253
endocytosis,Tgfbr1,ENSMUSG00000007613
endocytosis,Tgfbr2,ENSMUSG00000032440
endocytosis,Zfyve16,ENSMUSG00000021706
endocytosis,Traf6,ENSMUSG00000027164
endocytosis,Tfrc,ENSMUSG00000022797
endocytosis,Tsg101,ENSMUSG00000014402
endocytosis,Washc5,ENSMUSG00000022350
endocytosis,Vps45,ENSMUSG00000015747
endocytosis,Was,ENSMUSG00000031165
endocytosis,H2-M10.4,ENSMUSG00000048231
endocytosis,H2-M11,ENSMUSG00000037537
endocytosis,H2-M1,ENSMUSG00000037334
endocytosis,H2-M10.5,ENSMUSG00000037246
endocytosis,Snx32,ENSMUSG00000056185
endocytosis,Cxcr1,ENSMUSG00000048480
endocytosis,Sh3glb2,ENSMUSG00000026860
endocytosis,Pip5kl1,ENSMUSG00000046854
endocytosis,Arfgap1,ENSMUSG00000027575
endocytosis,Spg20,ENSMUSG00000036580
endocytosis,Zfyve9,ENSMUSG00000034557
endocytosis,Iqsec1,ENSMUSG00000034312
endocytosis,Ap2s1,ENSMUSG00000008036
endocytosis,Psd3,ENSMUSG00000030465
endocytosis,Chmp1a,ENSMUSG00000000743
endocytosis,H2-M5,ENSMUSG00000024459
endocytosis,Grk1,ENSMUSG00000031450
endocytosis,Iqsec3,ENSMUSG00000040797
endocytosis,Iqsec2,ENSMUSG00000041115
endocytosis,Ehd2,ENSMUSG00000074364
endocytosis,Grk6,ENSMUSG00000074886
endocytosis,Git2,ENSMUSG00000041890
endocytosis,Rab11fip4,ENSMUSG00000017639
endocytosis,Rab5a,ENSMUSG00000017831
endocytosis,Snf8,ENSMUSG00000006058
endocytosis,Spg21,ENSMUSG00000032388
endocytosis,Washc2,ENSMUSG00000024104
endocytosis,Vps25,ENSMUSG00000078656
endocytosis,Vps26a,ENSMUSG00000020078
endocytosis,Bin1,ENSMUSG00000024381
endocytosis,RP23-233B6.2,ENSMUSG00000034560
endocytosis,Zfyve27,ENSMUSG00000018820
endocytosis,Adrbk2,ENSMUSG00000042249
endocytosis,Vps37b,ENSMUSG00000066278
endocytosis,Wipf3,ENSMUSG00000086040
endocytosis,H2-M10.2,ENSMUSG00000023083
endocytosis,Agap1,ENSMUSG00000055013
endocytosis,H2-M10.6,ENSMUSG00000037130
endocytosis,Rab11fip5,ENSMUSG00000051343
endocytosis,Vps37a,ENSMUSG00000031600
endocytosis,Rab11a,ENSMUSG00000004771
endocytosis,Rabep1,ENSMUSG00000020817
endocytosis,Snx3,ENSMUSG00000019804
endocytosis,Sh3glb1,ENSMUSG00000037062
endocytosis,Snx12,ENSMUSG00000046032
endocytosis,Stam2,ENSMUSG00000055371
endocytosis,Arpc3,ENSMUSG00000029465
endocytosis,Vps29,ENSMUSG00000029462
endocytosis,Snx1,ENSMUSG00000032382
endocytosis,Arpc1a,ENSMUSG00000029621
endocytosis,Pard6a,ENSMUSG00000005699
endocytosis,Ehd3,ENSMUSG00000024065
endocytosis,Sh3kbp1,ENSMUSG00000040990
endocytosis,Pard6b,ENSMUSG00000044641
endocytosis,H2-T9,ENSMUSG00000092243
endocytosis,Izumo1r,ENSMUSG00000031933
endocytosis,Vps35,ENSMUSG00000031696
endocytosis,Vta1,ENSMUSG00000019868
endocytosis,Arfgap3,ENSMUSG00000054277
endocytosis,Smurf2,ENSMUSG00000018363
endocytosis,Chmp3,ENSMUSG00000053119
endocytosis,RP23-108F2.16,ENSMUSG00000073403
endocytosis,Tonsl,ENSMUSG00000059323
endocytosis,RP23-284F8.1,ENSMUSG00000031242
endocytosis,Washc3,ENSMUSG00000020056
endocytosis,Cltc,ENSMUSG00000047126
endocytosis,Rnf41,ENSMUSG00000025373
endocytosis,RP24-82B18.3,ENSMUSG00000036463
endocytosis,Arpc5,ENSMUSG00000008475
endocytosis,Snx2,ENSMUSG00000034484
endocytosis,Arpc4,ENSMUSG00000079426
endocytosis,Wipf2,ENSMUSG00000038013
endocytosis,Washc1,ENSMUSG00000024101
endocytosis,Chmp2b,ENSMUSG00000004843
endocytosis,Chmp2a,ENSMUSG00000033916
endocytosis,Vps26b,ENSMUSG00000031988
endocytosis,Snx4,ENSMUSG00000022808
endocytosis,Snx5,ENSMUSG00000027423
endocytosis,Arap1,ENSMUSG00000032812
endocytosis,Smap2,ENSMUSG00000032870
endocytosis,Stambp,ENSMUSG00000006906
endocytosis,Ap2b1,ENSMUSG00000035152
endocytosis,Epn3,ENSMUSG00000010080
endocytosis,Ist1,ENSMUSG00000031729
endocytosis,Snx6,ENSMUSG00000005656
endocytosis,Cyth4,ENSMUSG00000018008
endocytosis,Mvb12b,ENSMUSG00000038740
endocytosis,Dnajc6,ENSMUSG00000028528
endocytosis,Wasl,ENSMUSG00000029684
endocytosis,Mvb12a,ENSMUSG00000031813
endocytosis,Psd,ENSMUSG00000037126
endocytosis,Psd2,ENSMUSG00000024347
endocytosis,Arpc5l,ENSMUSG00000026755
endocytosis,Cltb,ENSMUSG00000047547
endocytosis,Rab11fip2,ENSMUSG00000040022
endocytosis,Chmp4b,ENSMUSG00000038467
endocytosis,Rab11fip1,ENSMUSG00000031488
endocytosis,Smurf1,ENSMUSG00000038780
endocytosis,Arpc2,ENSMUSG00000006304
endocytosis,Chmp5,ENSMUSG00000028419
endocytosis,Arfgap2,ENSMUSG00000027255
endocytosis,Rbsn,ENSMUSG00000014550
endocytosis,Acap2,ENSMUSG00000049076
endocytosis,Cblc,ENSMUSG00000040525
endocytosis,Nedd4l,ENSMUSG00000024589
endocytosis,Usp8,ENSMUSG00000027363
endocytosis,Pard6g,ENSMUSG00000056214
endocytosis,Pard3,ENSMUSG00000025812
endocytosis,Smap1,ENSMUSG00000026155
endocytosis,Ehd4,ENSMUSG00000027293
endocytosis,Arfgef2,ENSMUSG00000074582
