Pathway,Gene,EnsemblID
alanine.aspartate.and.glutamate.metabolism,Il4i1,ENSMUSG00000074141
alanine.aspartate.and.glutamate.metabolism,Lao1,ENSMUSG00000024903
alanine.aspartate.and.glutamate.metabolism,Rimklb,ENSMUSG00000040649
alanine.aspartate.and.glutamate.metabolism,Gpt2,ENSMUSG00000031700
alanine.aspartate.and.glutamate.metabolism,Asl,ENSMUSG00000025533
alanine.aspartate.and.glutamate.metabolism,Aspa,ENSMUSG00000020774
alanine.aspartate.and.glutamate.metabolism,Adsl,ENSMUSG00000022407
alanine.aspartate.and.glutamate.metabolism,Adssl1,ENSMUSG00000011148
alanine.aspartate.and.glutamate.metabolism,Adss,ENSMUSG00000015961
alanine.aspartate.and.glutamate.metabolism,Agxt,ENSMUSG00000026272
alanine.aspartate.and.glutamate.metabolism,Ass1,ENSMUSG00000076441
alanine.aspartate.and.glutamate.metabolism,Il4i1,ENSMUSG00000074141
alanine.aspartate.and.glutamate.metabolism,Gad1,ENSMUSG00000070880
alanine.aspartate.and.glutamate.metabolism,Gad2,ENSMUSG00000026787
alanine.aspartate.and.glutamate.metabolism,Gfpt1,ENSMUSG00000029992
alanine.aspartate.and.glutamate.metabolism,Gfpt2,ENSMUSG00000020363
alanine.aspartate.and.glutamate.metabolism,Glul,ENSMUSG00000026473
alanine.aspartate.and.glutamate.metabolism,Gls,ENSMUSG00000026103
alanine.aspartate.and.glutamate.metabolism,Glud1,ENSMUSG00000021794
alanine.aspartate.and.glutamate.metabolism,Got1,ENSMUSG00000025190
alanine.aspartate.and.glutamate.metabolism,Got2,ENSMUSG00000031672
alanine.aspartate.and.glutamate.metabolism,Rimkla,ENSMUSG00000048899
alanine.aspartate.and.glutamate.metabolism,Aldh4a1,ENSMUSG00000028737
alanine.aspartate.and.glutamate.metabolism,Aldh5a1,ENSMUSG00000035936
alanine.aspartate.and.glutamate.metabolism,Gls2,ENSMUSG00000044005
alanine.aspartate.and.glutamate.metabolism,Cps1,ENSMUSG00000025991
alanine.aspartate.and.glutamate.metabolism,Ppat,ENSMUSG00000029246
alanine.aspartate.and.glutamate.metabolism,Agxt2,ENSMUSG00000089678
alanine.aspartate.and.glutamate.metabolism,Abat,ENSMUSG00000057880
alanine.aspartate.and.glutamate.metabolism,Nat8l,ENSMUSG00000048142
alanine.aspartate.and.glutamate.metabolism,Asns,ENSMUSG00000029752
alanine.aspartate.and.glutamate.metabolism,Nit2,ENSMUSG00000022751
alanine.aspartate.and.glutamate.metabolism,Folh1,ENSMUSG00000001773
alanine.aspartate.and.glutamate.metabolism,Cad,ENSMUSG00000013629
alanine.aspartate.and.glutamate.metabolism,Ddo,ENSMUSG00000063428
alanine.aspartate.and.glutamate.metabolism,RP24-499A8.6,ENSMUSG00000069873
alanine.aspartate.and.glutamate.metabolism,Gpt,ENSMUSG00000022546
