Pathway,Gene,EnsemblID
thyroid.hormone.signaling.pathway,Dio3,ENSMUSG00000075707
thyroid.hormone.signaling.pathway,Raf1,ENSMUSG00000000441
thyroid.hormone.signaling.pathway,Actb,ENSMUSG00000029580
thyroid.hormone.signaling.pathway,Actg1,ENSMUSG00000062825
thyroid.hormone.signaling.pathway,Plcz1,ENSMUSG00000030230
thyroid.hormone.signaling.pathway,Akt1,ENSMUSG00000001729
thyroid.hormone.signaling.pathway,Akt2,ENSMUSG00000004056
thyroid.hormone.signaling.pathway,Atp1a1,ENSMUSG00000033161
thyroid.hormone.signaling.pathway,Atp1b1,ENSMUSG00000026576
thyroid.hormone.signaling.pathway,Atp1b2,ENSMUSG00000041329
thyroid.hormone.signaling.pathway,Atp1b3,ENSMUSG00000032412
thyroid.hormone.signaling.pathway,Fxyd2,ENSMUSG00000059412
thyroid.hormone.signaling.pathway,Atp2a2,ENSMUSG00000029467
thyroid.hormone.signaling.pathway,Bad,ENSMUSG00000024959
thyroid.hormone.signaling.pathway,Bmp4,ENSMUSG00000021835
thyroid.hormone.signaling.pathway,Casp9,ENSMUSG00000028914
thyroid.hormone.signaling.pathway,Ctnnb1,ENSMUSG00000006932
thyroid.hormone.signaling.pathway,Ccnd1,ENSMUSG00000070348
thyroid.hormone.signaling.pathway,Crebbp,ENSMUSG00000022521
thyroid.hormone.signaling.pathway,Dio1,ENSMUSG00000034785
thyroid.hormone.signaling.pathway,Dio2,ENSMUSG00000007682
thyroid.hormone.signaling.pathway,Esr1,ENSMUSG00000019768
thyroid.hormone.signaling.pathway,Gata4,ENSMUSG00000021944
thyroid.hormone.signaling.pathway,Kat2a,ENSMUSG00000020918
thyroid.hormone.signaling.pathway,Hdac2,ENSMUSG00000019777
thyroid.hormone.signaling.pathway,Hdac3,ENSMUSG00000024454
thyroid.hormone.signaling.pathway,Hif1a,ENSMUSG00000021109
thyroid.hormone.signaling.pathway,Hras,ENSMUSG00000025499
thyroid.hormone.signaling.pathway,Itgav,ENSMUSG00000027087
thyroid.hormone.signaling.pathway,Itgb3,ENSMUSG00000020689
thyroid.hormone.signaling.pathway,Kras,ENSMUSG00000030265
thyroid.hormone.signaling.pathway,Mdm2,ENSMUSG00000020184
thyroid.hormone.signaling.pathway,Myc,ENSMUSG00000022346
thyroid.hormone.signaling.pathway,Myh6,ENSMUSG00000040752
thyroid.hormone.signaling.pathway,Ncoa1,ENSMUSG00000020647
thyroid.hormone.signaling.pathway,Ncoa2,ENSMUSG00000005886
thyroid.hormone.signaling.pathway,Ncoa3,ENSMUSG00000027678
thyroid.hormone.signaling.pathway,Notch1,ENSMUSG00000026923
thyroid.hormone.signaling.pathway,Notch2,ENSMUSG00000027878
thyroid.hormone.signaling.pathway,Notch3,ENSMUSG00000038146
thyroid.hormone.signaling.pathway,Notch4,ENSMUSG00000015468
thyroid.hormone.signaling.pathway,Nras,ENSMUSG00000027852
thyroid.hormone.signaling.pathway,Kat2b,ENSMUSG00000000708
thyroid.hormone.signaling.pathway,Pdpk1,ENSMUSG00000024122
thyroid.hormone.signaling.pathway,Pfkfb2,ENSMUSG00000026409
thyroid.hormone.signaling.pathway,Pik3ca,ENSMUSG00000027665
thyroid.hormone.signaling.pathway,Pik3cd,ENSMUSG00000039936
thyroid.hormone.signaling.pathway,Pik3r1,ENSMUSG00000041417
thyroid.hormone.signaling.pathway,Pik3r2,ENSMUSG00000031834
thyroid.hormone.signaling.pathway,Pik3r3,ENSMUSG00000028698
thyroid.hormone.signaling.pathway,Prkaca,ENSMUSG00000005469
thyroid.hormone.signaling.pathway,Prkacb,ENSMUSG00000005034
thyroid.hormone.signaling.pathway,Prkca,ENSMUSG00000050965
thyroid.hormone.signaling.pathway,Prkcb,ENSMUSG00000052889
thyroid.hormone.signaling.pathway,Prkcg,ENSMUSG00000078816
thyroid.hormone.signaling.pathway,Plcb1,ENSMUSG00000051177
thyroid.hormone.signaling.pathway,Plcb2,ENSMUSG00000040061
thyroid.hormone.signaling.pathway,Plcb3,ENSMUSG00000024960
thyroid.hormone.signaling.pathway,Plcb4,ENSMUSG00000039943
thyroid.hormone.signaling.pathway,Plcd1,ENSMUSG00000010660
thyroid.hormone.signaling.pathway,Plcd4,ENSMUSG00000026173
thyroid.hormone.signaling.pathway,Plcg1,ENSMUSG00000016933
thyroid.hormone.signaling.pathway,Pln,ENSMUSG00000038583
thyroid.hormone.signaling.pathway,Med1,ENSMUSG00000018160
thyroid.hormone.signaling.pathway,Rheb,ENSMUSG00000028945
thyroid.hormone.signaling.pathway,Rxra,ENSMUSG00000015846
thyroid.hormone.signaling.pathway,Rxrb,ENSMUSG00000039656
thyroid.hormone.signaling.pathway,Rxrg,ENSMUSG00000015843
thyroid.hormone.signaling.pathway,Ncor1,ENSMUSG00000018501
thyroid.hormone.signaling.pathway,Sin3a,ENSMUSG00000042557
thyroid.hormone.signaling.pathway,Slc16a2,ENSMUSG00000033965
thyroid.hormone.signaling.pathway,Slc9a1,ENSMUSG00000028854
thyroid.hormone.signaling.pathway,Src,ENSMUSG00000027646
thyroid.hormone.signaling.pathway,Stat1,ENSMUSG00000026104
thyroid.hormone.signaling.pathway,Tbc1d4,ENSMUSG00000033083
thyroid.hormone.signaling.pathway,Med16,ENSMUSG00000013833
thyroid.hormone.signaling.pathway,Thra,ENSMUSG00000058756
thyroid.hormone.signaling.pathway,Thrb,ENSMUSG00000021779
thyroid.hormone.signaling.pathway,Trp53,ENSMUSG00000059552
thyroid.hormone.signaling.pathway,Tsc2,ENSMUSG00000002496
thyroid.hormone.signaling.pathway,Wnt4,ENSMUSG00000036856
thyroid.hormone.signaling.pathway,Atp1a3,ENSMUSG00000040907
thyroid.hormone.signaling.pathway,Plcg2,ENSMUSG00000034330
thyroid.hormone.signaling.pathway,Med17,ENSMUSG00000031935
thyroid.hormone.signaling.pathway,Akt3,ENSMUSG00000019699
thyroid.hormone.signaling.pathway,Med24,ENSMUSG00000017210
thyroid.hormone.signaling.pathway,Map2k1,ENSMUSG00000004936
thyroid.hormone.signaling.pathway,Map2k2,ENSMUSG00000035027
thyroid.hormone.signaling.pathway,Mapk1,ENSMUSG00000063358
thyroid.hormone.signaling.pathway,Mapk3,ENSMUSG00000063065
thyroid.hormone.signaling.pathway,Med14,ENSMUSG00000064127
thyroid.hormone.signaling.pathway,Atp1a4,ENSMUSG00000007107
thyroid.hormone.signaling.pathway,Pik3cg,ENSMUSG00000020573
thyroid.hormone.signaling.pathway,Pik3r5,ENSMUSG00000020901
thyroid.hormone.signaling.pathway,Med13,ENSMUSG00000034297
thyroid.hormone.signaling.pathway,Ep300,ENSMUSG00000055024
thyroid.hormone.signaling.pathway,Med12l,ENSMUSG00000056476
thyroid.hormone.signaling.pathway,Hdac1,ENSMUSG00000028800
thyroid.hormone.signaling.pathway,Rcan2,ENSMUSG00000039601
thyroid.hormone.signaling.pathway,Rcan1,ENSMUSG00000022951
thyroid.hormone.signaling.pathway,Pfkp,ENSMUSG00000021196
thyroid.hormone.signaling.pathway,Gsk3b,ENSMUSG00000022812
thyroid.hormone.signaling.pathway,Mtor,ENSMUSG00000028991
thyroid.hormone.signaling.pathway,Slco1c1,ENSMUSG00000030235
thyroid.hormone.signaling.pathway,Med12,ENSMUSG00000079487
thyroid.hormone.signaling.pathway,Med4,ENSMUSG00000022109
thyroid.hormone.signaling.pathway,Atp1b4,ENSMUSG00000016327
thyroid.hormone.signaling.pathway,Med27,ENSMUSG00000026799
thyroid.hormone.signaling.pathway,Med30,ENSMUSG00000038622
thyroid.hormone.signaling.pathway,Plcd3,ENSMUSG00000020937
thyroid.hormone.signaling.pathway,Slc16a10,ENSMUSG00000019838
thyroid.hormone.signaling.pathway,Plce1,ENSMUSG00000024998
thyroid.hormone.signaling.pathway,Med13l,ENSMUSG00000018076
thyroid.hormone.signaling.pathway,Atp1a2,ENSMUSG00000007097
