Pathway,Gene,EnsemblID
measles,Akt1,ENSMUSG00000001729
measles,Akt2,ENSMUSG00000004056
measles,Ccnd1,ENSMUSG00000070348
measles,Ccnd2,ENSMUSG00000000184
measles,Ccnd3,ENSMUSG00000034165
measles,Ccne1,ENSMUSG00000002068
measles,Ccne2,ENSMUSG00000028212
measles,Cd28,ENSMUSG00000026012
measles,Cd3d,ENSMUSG00000032094
measles,Cd3e,ENSMUSG00000032093
measles,Cd3g,ENSMUSG00000002033
measles,Cdk2,ENSMUSG00000025358
measles,Cdk6,ENSMUSG00000040274
measles,Cdkn1b,ENSMUSG00000003031
measles,Chuk,ENSMUSG00000025199
measles,Csnk2a1,ENSMUSG00000074698
measles,Csnk2a2,ENSMUSG00000046707
measles,Csnk2b,ENSMUSG00000024387
measles,Dok1,ENSMUSG00000068335
measles,Eif2s1,ENSMUSG00000021116
measles,Eif2ak3,ENSMUSG00000031668
measles,Fas,ENSMUSG00000024778
measles,Fasl,ENSMUSG00000000817
measles,Fcgr2b,ENSMUSG00000026656
measles,Fyn,ENSMUSG00000019843
measles,Gnb2l1,ENSMUSG00000020372
measles,Hspa8,ENSMUSG00000015656
measles,Hspa1l,ENSMUSG00000007033
measles,Hspa1b,ENSMUSG00000090877
measles,Hspa2,ENSMUSG00000059970
measles,Ifna1,ENSMUSG00000095498
measles,Ifna11,ENSMUSG00000100549
measles,Ifna4,ENSMUSG00000070904
measles,Ifna5,ENSMUSG00000096682
measles,Ifna6,ENSMUSG00000101252
measles,Ifna7,ENSMUSG00000100713
measles,Ifna9,ENSMUSG00000095270
measles,Ifnar1,ENSMUSG00000022967
measles,Ifnar2,ENSMUSG00000022971
measles,Ifnb1,ENSMUSG00000048806
measles,Ifng,ENSMUSG00000055170
measles,Ifngr1,ENSMUSG00000020009
measles,Il12a,ENSMUSG00000027776
measles,Il13,ENSMUSG00000020383
measles,Il1a,ENSMUSG00000027399
measles,Il1b,ENSMUSG00000027398
measles,Irak1,ENSMUSG00000031392
measles,Il2,ENSMUSG00000027720
measles,Il2ra,ENSMUSG00000026770
measles,Il2rb,ENSMUSG00000068227
measles,Il2rg,ENSMUSG00000031304
measles,Il4,ENSMUSG00000000869
measles,Il6,ENSMUSG00000025746
measles,Irf9,ENSMUSG00000002325
measles,Jak1,ENSMUSG00000028530
measles,Jak2,ENSMUSG00000024789
measles,Jak3,ENSMUSG00000031805
measles,Tlr7,ENSMUSG00000044583
measles,Bbc3,ENSMUSG00000002083
measles,Cd209c,ENSMUSG00000040165
measles,Cd209d,ENSMUSG00000031495
measles,Cd209e,ENSMUSG00000040197
measles,Cd209a,ENSMUSG00000031494
measles,Msn,ENSMUSG00000031207
measles,Mx2,ENSMUSG00000023341
measles,Myd88,ENSMUSG00000032508
measles,Nfkb1,ENSMUSG00000028163
measles,Nfkbia,ENSMUSG00000021025
measles,Nfkbib,ENSMUSG00000030595
measles,Pik3ca,ENSMUSG00000027665
measles,Pik3cd,ENSMUSG00000039936
measles,Pik3r1,ENSMUSG00000041417
measles,Pik3r2,ENSMUSG00000031834
measles,Pik3r3,ENSMUSG00000028698
measles,Prkcq,ENSMUSG00000026778
measles,Eif2ak2,ENSMUSG00000024079
measles,Hspa1a,ENSMUSG00000091971
measles,Rela,ENSMUSG00000024927
measles,Sh2d1a,ENSMUSG00000005696
measles,Stat1,ENSMUSG00000026104
measles,Stat2,ENSMUSG00000040033
measles,Stat3,ENSMUSG00000004040
measles,Stat5a,ENSMUSG00000004043
measles,Stat5b,ENSMUSG00000020919
measles,Cblb,ENSMUSG00000022637
measles,Tacr1,ENSMUSG00000030043
measles,Tlr4,ENSMUSG00000039005
measles,Tnfaip3,ENSMUSG00000019850
measles,Tnfrsf10b,ENSMUSG00000022074
measles,Traf6,ENSMUSG00000027164
measles,Tnfsf10,ENSMUSG00000039304
measles,Trp53,ENSMUSG00000059552
measles,Trp73,ENSMUSG00000029026
measles,Mavs,ENSMUSG00000037523
measles,Ifna13,ENSMUSG00000063376
measles,Akt3,ENSMUSG00000019699
measles,Oas1g,ENSMUSG00000066861
measles,Oas1b,ENSMUSG00000029605
measles,Tlr2,ENSMUSG00000027995
measles,Ifna15,ENSMUSG00000096011
measles,Ifna12,ENSMUSG00000073811
measles,Oas3,ENSMUSG00000032661
measles,Oas2,ENSMUSG00000032690
measles,Oas1a,ENSMUSG00000052776
measles,Map3k7,ENSMUSG00000028284
measles,Irak4,ENSMUSG00000059883
measles,Eif2ak4,ENSMUSG00000005102
measles,Slamf1,ENSMUSG00000015316
measles,Pik3cg,ENSMUSG00000020573
measles,Rab9b,ENSMUSG00000043463
measles,Pik3r5,ENSMUSG00000020901
measles,Ifna14,ENSMUSG00000095896
measles,Irf7,ENSMUSG00000025498
measles,Irf3,ENSMUSG00000003184
measles,Tyk2,ENSMUSG00000032175
measles,Rab9,ENSMUSG00000079316
measles,Adar,ENSMUSG00000027951
measles,Tbk1,ENSMUSG00000020115
measles,Ikbke,ENSMUSG00000042349
measles,Gsk3b,ENSMUSG00000022812
measles,Rchy1,ENSMUSG00000029397
measles,Eif3h,ENSMUSG00000022312
measles,Tab2,ENSMUSG00000015755
measles,Cd209f,ENSMUSG00000051906
measles,Cd209b,ENSMUSG00000065987
measles,Cd209g,ENSMUSG00000079168
measles,Ifih1,ENSMUSG00000026896
measles,Tlr9,ENSMUSG00000045322
