Pathway,Gene,EnsemblID
non.alcoholic.fatty.liver.disease.nafld,Ndufb11,ENSMUSG00000031059
non.alcoholic.fatty.liver.disease.nafld,Prkaa1,ENSMUSG00000050697
non.alcoholic.fatty.liver.disease.nafld,Prkaa2,ENSMUSG00000028518
non.alcoholic.fatty.liver.disease.nafld,Prkab2,ENSMUSG00000038205
non.alcoholic.fatty.liver.disease.nafld,Prkag2,ENSMUSG00000028944
non.alcoholic.fatty.liver.disease.nafld,Cox6b1,ENSMUSG00000036751
non.alcoholic.fatty.liver.disease.nafld,Adipoq,ENSMUSG00000022878
non.alcoholic.fatty.liver.disease.nafld,Akt1,ENSMUSG00000001729
non.alcoholic.fatty.liver.disease.nafld,Akt2,ENSMUSG00000004056
non.alcoholic.fatty.liver.disease.nafld,Atf4,ENSMUSG00000042406
non.alcoholic.fatty.liver.disease.nafld,Bax,ENSMUSG00000003873
non.alcoholic.fatty.liver.disease.nafld,Bid,ENSMUSG00000004446
non.alcoholic.fatty.liver.disease.nafld,Bcl2l11,ENSMUSG00000027381
non.alcoholic.fatty.liver.disease.nafld,Casp7,ENSMUSG00000025076
non.alcoholic.fatty.liver.disease.nafld,Casp8,ENSMUSG00000026029
non.alcoholic.fatty.liver.disease.nafld,Cdc42,ENSMUSG00000006699
non.alcoholic.fatty.liver.disease.nafld,Cebpa,ENSMUSG00000034957
non.alcoholic.fatty.liver.disease.nafld,Socs3,ENSMUSG00000053113
non.alcoholic.fatty.liver.disease.nafld,Cox4i1,ENSMUSG00000031818
non.alcoholic.fatty.liver.disease.nafld,Cox5a,ENSMUSG00000000088
non.alcoholic.fatty.liver.disease.nafld,Cox6a1,ENSMUSG00000041697
non.alcoholic.fatty.liver.disease.nafld,Cox6a2,ENSMUSG00000030785
non.alcoholic.fatty.liver.disease.nafld,Cox6c,ENSMUSG00000014313
non.alcoholic.fatty.liver.disease.nafld,Cox7a1,ENSMUSG00000074218
non.alcoholic.fatty.liver.disease.nafld,Cox7a2,ENSMUSG00000032330
non.alcoholic.fatty.liver.disease.nafld,Cox8a,ENSMUSG00000035885
non.alcoholic.fatty.liver.disease.nafld,Cox8b,ENSMUSG00000025488
non.alcoholic.fatty.liver.disease.nafld,Cycs,ENSMUSG00000063694
non.alcoholic.fatty.liver.disease.nafld,Cyct,ENSMUSG00000056436
non.alcoholic.fatty.liver.disease.nafld,Cyp2e1,ENSMUSG00000025479
