Pathway,Gene,EnsemblID
prostate.cancer,Braf,ENSMUSG00000002413
prostate.cancer,Raf1,ENSMUSG00000000441
prostate.cancer,Akt1,ENSMUSG00000001729
prostate.cancer,Akt2,ENSMUSG00000004056
prostate.cancer,Araf,ENSMUSG00000001127
prostate.cancer,Atf4,ENSMUSG00000042406
prostate.cancer,Bad,ENSMUSG00000024959
prostate.cancer,Bcl2,ENSMUSG00000057329
prostate.cancer,Casp9,ENSMUSG00000028914
prostate.cancer,Ctnnb1,ENSMUSG00000006932
prostate.cancer,Ccnd1,ENSMUSG00000070348
prostate.cancer,Ccne1,ENSMUSG00000002068
prostate.cancer,Ccne2,ENSMUSG00000028212
prostate.cancer,Cdk2,ENSMUSG00000025358
prostate.cancer,Cdkn1a,ENSMUSG00000023067
prostate.cancer,Cdkn1b,ENSMUSG00000003031
prostate.cancer,Chuk,ENSMUSG00000025199
prostate.cancer,Creb1,ENSMUSG00000025958
prostate.cancer,Creb3,ENSMUSG00000028466
prostate.cancer,Crebbp,ENSMUSG00000022521
prostate.cancer,E2f1,ENSMUSG00000027490
prostate.cancer,E2f3,ENSMUSG00000016477
prostate.cancer,Egf,ENSMUSG00000028017
prostate.cancer,Egfr,ENSMUSG00000020122
prostate.cancer,Erbb2,ENSMUSG00000062312
prostate.cancer,Fgfr1,ENSMUSG00000031565
prostate.cancer,Fgfr2,ENSMUSG00000030849
prostate.cancer,Grb2,ENSMUSG00000059923
prostate.cancer,Gstp1,ENSMUSG00000060803
prostate.cancer,Hras,ENSMUSG00000025499
prostate.cancer,Hsp90ab1,ENSMUSG00000023944
prostate.cancer,Hsp90aa1,ENSMUSG00000021270
prostate.cancer,Igf1,ENSMUSG00000020053
prostate.cancer,Igf1r,ENSMUSG00000005533
prostate.cancer,Ikbkb,ENSMUSG00000031537
prostate.cancer,Ikbkg,ENSMUSG00000004221
prostate.cancer,Ins1,ENSMUSG00000035804
prostate.cancer,Ins2,ENSMUSG00000000215
prostate.cancer,Kras,ENSMUSG00000030265
prostate.cancer,Lef1,ENSMUSG00000027985
prostate.cancer,Mdm2,ENSMUSG00000020184
prostate.cancer,Nfkb1,ENSMUSG00000028163
prostate.cancer,Nfkbia,ENSMUSG00000021025
prostate.cancer,Nkx3-1,ENSMUSG00000022061
prostate.cancer,Nras,ENSMUSG00000027852
prostate.cancer,Pdgfb,ENSMUSG00000000489
prostate.cancer,Pdgfra,ENSMUSG00000029231
prostate.cancer,Pdgfrb,ENSMUSG00000024620
prostate.cancer,Pdpk1,ENSMUSG00000024122
prostate.cancer,Pik3ca,ENSMUSG00000027665
prostate.cancer,Pik3cd,ENSMUSG00000039936
prostate.cancer,Pik3r1,ENSMUSG00000041417
prostate.cancer,Pik3r2,ENSMUSG00000031834
prostate.cancer,Pik3r3,ENSMUSG00000028698
prostate.cancer,Pten,ENSMUSG00000013663
prostate.cancer,Rb1,ENSMUSG00000022105
prostate.cancer,Rela,ENSMUSG00000024927
prostate.cancer,Sos1,ENSMUSG00000024241
prostate.cancer,Sos2,ENSMUSG00000034801
prostate.cancer,Creb3l3,ENSMUSG00000035041
prostate.cancer,Tcf7,ENSMUSG00000000782
prostate.cancer,Tcf7l1,ENSMUSG00000055799
prostate.cancer,Tcf7l2,ENSMUSG00000024985
prostate.cancer,Tgfa,ENSMUSG00000029999
prostate.cancer,Hsp90b1,ENSMUSG00000020048
prostate.cancer,Trp53,ENSMUSG00000059552
prostate.cancer,Creb5,ENSMUSG00000053007
prostate.cancer,Akt3,ENSMUSG00000019699
prostate.cancer,Insrr,ENSMUSG00000005640
prostate.cancer,E2f2,ENSMUSG00000018983
prostate.cancer,Map2k1,ENSMUSG00000004936
prostate.cancer,Map2k2,ENSMUSG00000035027
prostate.cancer,Mapk1,ENSMUSG00000063358
prostate.cancer,Mapk3,ENSMUSG00000063065
prostate.cancer,Creb3l1,ENSMUSG00000027230
prostate.cancer,Pik3cg,ENSMUSG00000020573
prostate.cancer,Pik3r5,ENSMUSG00000020901
prostate.cancer,Ep300,ENSMUSG00000055024
prostate.cancer,Pdgfc,ENSMUSG00000028019
prostate.cancer,Gsk3b,ENSMUSG00000022812
prostate.cancer,Mtor,ENSMUSG00000028991
prostate.cancer,Pdgfd,ENSMUSG00000032006
prostate.cancer,Creb3l4,ENSMUSG00000027938
prostate.cancer,Srd5a2,ENSMUSG00000038541
