Pathway,Gene,EnsemblID
choline.metabolism.in.cancer,Slc44a1,ENSMUSG00000028412
choline.metabolism.in.cancer,Dgkz,ENSMUSG00000040479
choline.metabolism.in.cancer,Raf1,ENSMUSG00000000441
choline.metabolism.in.cancer,Dgkq,ENSMUSG00000004815
choline.metabolism.in.cancer,Akt1,ENSMUSG00000001729
choline.metabolism.in.cancer,Akt2,ENSMUSG00000004056
choline.metabolism.in.cancer,Chkb,ENSMUSG00000022617
choline.metabolism.in.cancer,Chka,ENSMUSG00000024843
choline.metabolism.in.cancer,Pcyt1a,ENSMUSG00000005615
choline.metabolism.in.cancer,Dgka,ENSMUSG00000025357
choline.metabolism.in.cancer,Egf,ENSMUSG00000028017
choline.metabolism.in.cancer,Egfr,ENSMUSG00000020122
choline.metabolism.in.cancer,Eif4ebp1,ENSMUSG00000031490
choline.metabolism.in.cancer,Fos,ENSMUSG00000021250
choline.metabolism.in.cancer,Grb2,ENSMUSG00000059923
choline.metabolism.in.cancer,Hif1a,ENSMUSG00000021109
choline.metabolism.in.cancer,Hras,ENSMUSG00000025499
choline.metabolism.in.cancer,Jun,ENSMUSG00000052684
choline.metabolism.in.cancer,Kras,ENSMUSG00000030265
choline.metabolism.in.cancer,Rac3,ENSMUSG00000018012
choline.metabolism.in.cancer,Nras,ENSMUSG00000027852
choline.metabolism.in.cancer,Pdgfb,ENSMUSG00000000489
choline.metabolism.in.cancer,Pdgfra,ENSMUSG00000029231
choline.metabolism.in.cancer,Pdgfrb,ENSMUSG00000024620
choline.metabolism.in.cancer,Pdpk1,ENSMUSG00000024122
choline.metabolism.in.cancer,Pik3ca,ENSMUSG00000027665
choline.metabolism.in.cancer,Pik3cd,ENSMUSG00000039936
choline.metabolism.in.cancer,Pik3r1,ENSMUSG00000041417
choline.metabolism.in.cancer,Pik3r2,ENSMUSG00000031834
choline.metabolism.in.cancer,Pik3r3,ENSMUSG00000028698
choline.metabolism.in.cancer,Pip5k1c,ENSMUSG00000034902
choline.metabolism.in.cancer,Pip5k1b,ENSMUSG00000024867
choline.metabolism.in.cancer,Pip5k1a,ENSMUSG00000028126
choline.metabolism.in.cancer,Prkca,ENSMUSG00000050965
choline.metabolism.in.cancer,Prkcb,ENSMUSG00000052889
choline.metabolism.in.cancer,Prkcg,ENSMUSG00000078816
choline.metabolism.in.cancer,Lypla1,ENSMUSG00000025903
choline.metabolism.in.cancer,Pla2g4a,ENSMUSG00000056220
choline.metabolism.in.cancer,Plcg1,ENSMUSG00000016933
choline.metabolism.in.cancer,Pld1,ENSMUSG00000027695
choline.metabolism.in.cancer,Pld2,ENSMUSG00000020828
choline.metabolism.in.cancer,Plpp1,ENSMUSG00000021759
choline.metabolism.in.cancer,Rac1,ENSMUSG00000001847
choline.metabolism.in.cancer,Rac2,ENSMUSG00000033220
choline.metabolism.in.cancer,Ralgds,ENSMUSG00000026821
choline.metabolism.in.cancer,Rheb,ENSMUSG00000028945
choline.metabolism.in.cancer,Slc22a1,ENSMUSG00000023829
choline.metabolism.in.cancer,Slc22a2,ENSMUSG00000040966
choline.metabolism.in.cancer,Slc22a3,ENSMUSG00000023828
choline.metabolism.in.cancer,Slc22a5,ENSMUSG00000018900
choline.metabolism.in.cancer,Sos1,ENSMUSG00000024241
choline.metabolism.in.cancer,Sos2,ENSMUSG00000034801
choline.metabolism.in.cancer,Sp1,ENSMUSG00000001280
choline.metabolism.in.cancer,Chpt1,ENSMUSG00000060002
choline.metabolism.in.cancer,Slc44a3,ENSMUSG00000039865
choline.metabolism.in.cancer,Dgkb,ENSMUSG00000036095
choline.metabolism.in.cancer,Tsc2,ENSMUSG00000002496
choline.metabolism.in.cancer,Was,ENSMUSG00000031165
