Pathway,Gene,EnsemblID
chemical.carcinogenesis,Cyp3a41b,ENSMUSG00000075552
chemical.carcinogenesis,Ugt2b38,ENSMUSG00000061906
chemical.carcinogenesis,Ugt2b34,ENSMUSG00000029260
chemical.carcinogenesis,Gstt3,ENSMUSG00000001665
chemical.carcinogenesis,Cyp2c50,ENSMUSG00000054827
chemical.carcinogenesis,Ugt2b37,ENSMUSG00000057425
chemical.carcinogenesis,Chrna7,ENSMUSG00000030525
chemical.carcinogenesis,Adh1,ENSMUSG00000074207
chemical.carcinogenesis,Adh5,ENSMUSG00000028138
chemical.carcinogenesis,Aldh3a1,ENSMUSG00000019102
chemical.carcinogenesis,Arnt,ENSMUSG00000015522
chemical.carcinogenesis,Cbr1,ENSMUSG00000051483
chemical.carcinogenesis,Cyp1a1,ENSMUSG00000032315
chemical.carcinogenesis,Cyp1a2,ENSMUSG00000032310
chemical.carcinogenesis,Cyp1b1,ENSMUSG00000024087
chemical.carcinogenesis,Cyp2b10,ENSMUSG00000030483
chemical.carcinogenesis,Cyp2b13,ENSMUSG00000040583
chemical.carcinogenesis,Cyp2b19,ENSMUSG00000066704
chemical.carcinogenesis,Cyp2b9,ENSMUSG00000040660
chemical.carcinogenesis,Cyp2c29,ENSMUSG00000003053
chemical.carcinogenesis,Cyp2c37,ENSMUSG00000042248
chemical.carcinogenesis,Cyp2c38,ENSMUSG00000032808
chemical.carcinogenesis,Cyp2c39,ENSMUSG00000025003
chemical.carcinogenesis,Cyp2c40,ENSMUSG00000025004
chemical.carcinogenesis,Cyp2e1,ENSMUSG00000025479
chemical.carcinogenesis,Cyp3a11,ENSMUSG00000056035
chemical.carcinogenesis,Cyp3a13,ENSMUSG00000029727
chemical.carcinogenesis,Cyp3a16,ENSMUSG00000038656
chemical.carcinogenesis,Ephx1,ENSMUSG00000038776
chemical.carcinogenesis,Gsta1,ENSMUSG00000074183
chemical.carcinogenesis,Gsta2,ENSMUSG00000057933
chemical.carcinogenesis,Gsta3,ENSMUSG00000025934
chemical.carcinogenesis,Gsta4,ENSMUSG00000032348
chemical.carcinogenesis,Gstm1,ENSMUSG00000058135
chemical.carcinogenesis,Gstm2,ENSMUSG00000040562
chemical.carcinogenesis,Gstm3,ENSMUSG00000004038
chemical.carcinogenesis,Gstm4,ENSMUSG00000027890
chemical.carcinogenesis,Gstm5,ENSMUSG00000004032
chemical.carcinogenesis,Gstm6,ENSMUSG00000068762
chemical.carcinogenesis,Gstp2,ENSMUSG00000038155
chemical.carcinogenesis,Gstp1,ENSMUSG00000060803
chemical.carcinogenesis,Gstt1,ENSMUSG00000001663
chemical.carcinogenesis,Gstt2,ENSMUSG00000033318
chemical.carcinogenesis,Gsto1,ENSMUSG00000025068
chemical.carcinogenesis,Hsd11b1,ENSMUSG00000016194
chemical.carcinogenesis,Nat1,ENSMUSG00000025588
chemical.carcinogenesis,Nat2,ENSMUSG00000051147
chemical.carcinogenesis,Nat3,ENSMUSG00000056426
chemical.carcinogenesis,Ptgs2,ENSMUSG00000032487
chemical.carcinogenesis,Sult2a1,ENSMUSG00000078798
chemical.carcinogenesis,Sult1a1,ENSMUSG00000030711
chemical.carcinogenesis,Mgst2,ENSMUSG00000074604
chemical.carcinogenesis,Ugt2b5,ENSMUSG00000054630
chemical.carcinogenesis,Cyp2c70,ENSMUSG00000060613
chemical.carcinogenesis,Cyp2c44,ENSMUSG00000025197
chemical.carcinogenesis,Ccbl2,ENSMUSG00000040213
chemical.carcinogenesis,Ugt2b36,ENSMUSG00000070704
chemical.carcinogenesis,Ugt2b35,ENSMUSG00000035811
chemical.carcinogenesis,Cyp2b23,ENSMUSG00000040650
chemical.carcinogenesis,Adh4,ENSMUSG00000037797
chemical.carcinogenesis,Cyp3a44,ENSMUSG00000054417
chemical.carcinogenesis,Ugt1a7c,ENSMUSG00000090124
chemical.carcinogenesis,Ugt1a6b,ENSMUSG00000090145
chemical.carcinogenesis,Cyp2c54,ENSMUSG00000067225
chemical.carcinogenesis,Cyp2c68,ENSMUSG00000074882
chemical.carcinogenesis,Cyp3a41a,ENSMUSG00000075551
chemical.carcinogenesis,Hpgds,ENSMUSG00000029919
chemical.carcinogenesis,Ugt2a2,ENSMUSG00000029268
chemical.carcinogenesis,Cyp3a25,ENSMUSG00000029630
chemical.carcinogenesis,Mgst1,ENSMUSG00000008540
chemical.carcinogenesis,Aldh1a3,ENSMUSG00000015134
chemical.carcinogenesis,Aldh3b2,ENSMUSG00000075296
chemical.carcinogenesis,Sult2a3,ENSMUSG00000074375
chemical.carcinogenesis,Aldh3b1,ENSMUSG00000024885
chemical.carcinogenesis,Gsto2,ENSMUSG00000025069
chemical.carcinogenesis,Gstm7,ENSMUSG00000004035
chemical.carcinogenesis,Cyp2c66,ENSMUSG00000067229
chemical.carcinogenesis,Ccbl1,ENSMUSG00000039648
chemical.carcinogenesis,Ugt2b1,ENSMUSG00000035836
chemical.carcinogenesis,Cyp2c55,ENSMUSG00000025002
chemical.carcinogenesis,Ugt2a3,ENSMUSG00000035780
chemical.carcinogenesis,Cyp2c65,ENSMUSG00000067231
chemical.carcinogenesis,Gstk1,ENSMUSG00000029864
chemical.carcinogenesis,Ugt2a1,ENSMUSG00000106677
