Pathway,Gene,EnsemblID
thyroid.hormone.synthesis,Adcy4,ENSMUSG00000022220
thyroid.hormone.synthesis,Adcy3,ENSMUSG00000020654
thyroid.hormone.synthesis,Slc5a5,ENSMUSG00000000792
thyroid.hormone.synthesis,Adcy6,ENSMUSG00000022994
thyroid.hormone.synthesis,Adcy7,ENSMUSG00000031659
thyroid.hormone.synthesis,Adcy8,ENSMUSG00000022376
thyroid.hormone.synthesis,Asgr1,ENSMUSG00000020884
thyroid.hormone.synthesis,Asgr2,ENSMUSG00000040963
thyroid.hormone.synthesis,Atf2,ENSMUSG00000027104
thyroid.hormone.synthesis,Atf4,ENSMUSG00000042406
thyroid.hormone.synthesis,Atp1a1,ENSMUSG00000033161
thyroid.hormone.synthesis,Atp1b1,ENSMUSG00000026576
thyroid.hormone.synthesis,Atp1b2,ENSMUSG00000041329
thyroid.hormone.synthesis,Atp1b3,ENSMUSG00000032412
thyroid.hormone.synthesis,Fxyd2,ENSMUSG00000059412
thyroid.hormone.synthesis,Pdia4,ENSMUSG00000025823
thyroid.hormone.synthesis,Canx,ENSMUSG00000020368
thyroid.hormone.synthesis,Cga,ENSMUSG00000028298
thyroid.hormone.synthesis,Creb1,ENSMUSG00000025958
thyroid.hormone.synthesis,Creb3,ENSMUSG00000028466
thyroid.hormone.synthesis,Atf6b,ENSMUSG00000015461
thyroid.hormone.synthesis,Gnaq,ENSMUSG00000024639
thyroid.hormone.synthesis,Gnas,ENSMUSG00000027523
thyroid.hormone.synthesis,Lrp2,ENSMUSG00000027070
thyroid.hormone.synthesis,Gpx1,ENSMUSG00000063856
thyroid.hormone.synthesis,Gpx2,ENSMUSG00000042808
thyroid.hormone.synthesis,Gpx3,ENSMUSG00000018339
thyroid.hormone.synthesis,Gpx5,ENSMUSG00000004344
thyroid.hormone.synthesis,Gsr,ENSMUSG00000031584
thyroid.hormone.synthesis,Hspa5,ENSMUSG00000026864
thyroid.hormone.synthesis,Itpr1,ENSMUSG00000030102
thyroid.hormone.synthesis,Itpr2,ENSMUSG00000030287
thyroid.hormone.synthesis,Itpr3,ENSMUSG00000042644
thyroid.hormone.synthesis,Pax8,ENSMUSG00000026976
thyroid.hormone.synthesis,Prkaca,ENSMUSG00000005469
thyroid.hormone.synthesis,Prkacb,ENSMUSG00000005034
thyroid.hormone.synthesis,Prkca,ENSMUSG00000050965
thyroid.hormone.synthesis,Prkcb,ENSMUSG00000052889
thyroid.hormone.synthesis,Prkcg,ENSMUSG00000078816
thyroid.hormone.synthesis,Plcb1,ENSMUSG00000051177
thyroid.hormone.synthesis,Plcb2,ENSMUSG00000040061
thyroid.hormone.synthesis,Plcb3,ENSMUSG00000024960
thyroid.hormone.synthesis,Plcb4,ENSMUSG00000039943
thyroid.hormone.synthesis,Creb3l3,ENSMUSG00000035041
thyroid.hormone.synthesis,Adcy2,ENSMUSG00000021536
thyroid.hormone.synthesis,Duox2,ENSMUSG00000068452
thyroid.hormone.synthesis,Tg,ENSMUSG00000053469
thyroid.hormone.synthesis,Tpo,ENSMUSG00000020673
thyroid.hormone.synthesis,Hsp90b1,ENSMUSG00000020048
thyroid.hormone.synthesis,Tshb,ENSMUSG00000027857
thyroid.hormone.synthesis,Tshr,ENSMUSG00000020963
thyroid.hormone.synthesis,Ttf1,ENSMUSG00000026803
thyroid.hormone.synthesis,Creb5,ENSMUSG00000053007
thyroid.hormone.synthesis,Atp1a3,ENSMUSG00000040907
thyroid.hormone.synthesis,Slc26a4,ENSMUSG00000020651
thyroid.hormone.synthesis,Creb3l1,ENSMUSG00000027230
thyroid.hormone.synthesis,Atp1a4,ENSMUSG00000007107
thyroid.hormone.synthesis,Adcy1,ENSMUSG00000020431
thyroid.hormone.synthesis,Duoxa2,ENSMUSG00000027225
thyroid.hormone.synthesis,Atp1b4,ENSMUSG00000016327
thyroid.hormone.synthesis,Gpx8,ENSMUSG00000021760
thyroid.hormone.synthesis,Iyd,ENSMUSG00000019762
thyroid.hormone.synthesis,Ttf2,ENSMUSG00000033222
thyroid.hormone.synthesis,Gpx6,ENSMUSG00000004341
thyroid.hormone.synthesis,Creb3l4,ENSMUSG00000027938
thyroid.hormone.synthesis,Atp1a2,ENSMUSG00000007097
