Pathway,Gene,EnsemblID
basal.cell.carcinoma,Apc,ENSMUSG00000005871
basal.cell.carcinoma,Axin1,ENSMUSG00000024182
basal.cell.carcinoma,Axin2,ENSMUSG00000000142
basal.cell.carcinoma,Bmp2,ENSMUSG00000027358
basal.cell.carcinoma,Bmp4,ENSMUSG00000021835
basal.cell.carcinoma,Ctnnb1,ENSMUSG00000006932
basal.cell.carcinoma,Dvl1,ENSMUSG00000029071
basal.cell.carcinoma,Dvl2,ENSMUSG00000020888
basal.cell.carcinoma,Dvl3,ENSMUSG00000003233
basal.cell.carcinoma,Fzd1,ENSMUSG00000044674
basal.cell.carcinoma,Fzd5,ENSMUSG00000045005
basal.cell.carcinoma,Fzd6,ENSMUSG00000022297
basal.cell.carcinoma,Fzd7,ENSMUSG00000041075
basal.cell.carcinoma,Fzd8,ENSMUSG00000036904
basal.cell.carcinoma,Fzd9,ENSMUSG00000049551
basal.cell.carcinoma,Gli1,ENSMUSG00000025407
basal.cell.carcinoma,Gli2,ENSMUSG00000048402
basal.cell.carcinoma,Gli3,ENSMUSG00000021318
basal.cell.carcinoma,Lef1,ENSMUSG00000027985
basal.cell.carcinoma,Ptch1,ENSMUSG00000021466
basal.cell.carcinoma,Ptch2,ENSMUSG00000028681
basal.cell.carcinoma,Shh,ENSMUSG00000002633
basal.cell.carcinoma,Wnt8a,ENSMUSG00000012282
basal.cell.carcinoma,Tcf7,ENSMUSG00000000782
basal.cell.carcinoma,Tcf7l1,ENSMUSG00000055799
basal.cell.carcinoma,Tcf7l2,ENSMUSG00000024985
basal.cell.carcinoma,Wnt9a,ENSMUSG00000000126
basal.cell.carcinoma,Trp53,ENSMUSG00000059552
basal.cell.carcinoma,Wnt1,ENSMUSG00000022997
basal.cell.carcinoma,Wnt10b,ENSMUSG00000022996
basal.cell.carcinoma,Wnt11,ENSMUSG00000015957
basal.cell.carcinoma,Wnt9b,ENSMUSG00000018486
basal.cell.carcinoma,Wnt2,ENSMUSG00000010797
basal.cell.carcinoma,Wnt2b,ENSMUSG00000027840
basal.cell.carcinoma,Wnt3,ENSMUSG00000000125
basal.cell.carcinoma,Wnt3a,ENSMUSG00000009900
basal.cell.carcinoma,Wnt4,ENSMUSG00000036856
basal.cell.carcinoma,Wnt5a,ENSMUSG00000021994
basal.cell.carcinoma,Wnt5b,ENSMUSG00000030170
basal.cell.carcinoma,Wnt6,ENSMUSG00000033227
basal.cell.carcinoma,Wnt7a,ENSMUSG00000030093
basal.cell.carcinoma,Wnt7b,ENSMUSG00000022382
basal.cell.carcinoma,Wnt8b,ENSMUSG00000036961
basal.cell.carcinoma,Apc2,ENSMUSG00000020135
basal.cell.carcinoma,Sufu,ENSMUSG00000025231
basal.cell.carcinoma,Stk36,ENSMUSG00000033276
basal.cell.carcinoma,Smo,ENSMUSG00000001761
basal.cell.carcinoma,Gsk3b,ENSMUSG00000022812
basal.cell.carcinoma,Fzd2,ENSMUSG00000050288
basal.cell.carcinoma,Wnt16,ENSMUSG00000029671
basal.cell.carcinoma,Fzd10,ENSMUSG00000081683
