Pathway,Gene,EnsemblID
pancreatic.cancer,Braf,ENSMUSG00000002413
pancreatic.cancer,Raf1,ENSMUSG00000000441
pancreatic.cancer,Akt1,ENSMUSG00000001729
pancreatic.cancer,Akt2,ENSMUSG00000004056
pancreatic.cancer,Araf,ENSMUSG00000001127
pancreatic.cancer,Bad,ENSMUSG00000024959
pancreatic.cancer,Bcl2l1,ENSMUSG00000007659
pancreatic.cancer,Brca2,ENSMUSG00000041147
pancreatic.cancer,Casp9,ENSMUSG00000028914
pancreatic.cancer,Ccnd1,ENSMUSG00000070348
pancreatic.cancer,Cdc42,ENSMUSG00000006699
pancreatic.cancer,Cdk6,ENSMUSG00000040274
pancreatic.cancer,Cdkn2a,ENSMUSG00000044303
pancreatic.cancer,Chuk,ENSMUSG00000025199
pancreatic.cancer,E2f1,ENSMUSG00000027490
pancreatic.cancer,E2f3,ENSMUSG00000016477
pancreatic.cancer,Egf,ENSMUSG00000028017
pancreatic.cancer,Egfr,ENSMUSG00000020122
pancreatic.cancer,Erbb2,ENSMUSG00000062312
pancreatic.cancer,Ikbkb,ENSMUSG00000031537
pancreatic.cancer,Ikbkg,ENSMUSG00000004221
pancreatic.cancer,Jak1,ENSMUSG00000028530
pancreatic.cancer,Kras,ENSMUSG00000030265
pancreatic.cancer,Rac3,ENSMUSG00000018012
pancreatic.cancer,Smad3,ENSMUSG00000032402
pancreatic.cancer,Smad4,ENSMUSG00000024515
pancreatic.cancer,Nfkb1,ENSMUSG00000028163
pancreatic.cancer,Pik3ca,ENSMUSG00000027665
pancreatic.cancer,Pik3cd,ENSMUSG00000039936
pancreatic.cancer,Pik3r1,ENSMUSG00000041417
pancreatic.cancer,Pik3r2,ENSMUSG00000031834
pancreatic.cancer,Pik3r3,ENSMUSG00000028698
pancreatic.cancer,Pld1,ENSMUSG00000027695
pancreatic.cancer,Rac1,ENSMUSG00000001847
pancreatic.cancer,Rac2,ENSMUSG00000033220
pancreatic.cancer,Rb1,ENSMUSG00000022105
pancreatic.cancer,Rela,ENSMUSG00000024927
pancreatic.cancer,Ralgds,ENSMUSG00000026821
pancreatic.cancer,Ralbp1,ENSMUSG00000024096
pancreatic.cancer,Stat1,ENSMUSG00000026104
pancreatic.cancer,Stat3,ENSMUSG00000004040
pancreatic.cancer,Tgfa,ENSMUSG00000029999
pancreatic.cancer,Tgfb1,ENSMUSG00000002603
pancreatic.cancer,Tgfb2,ENSMUSG00000039239
pancreatic.cancer,Tgfb3,ENSMUSG00000021253
pancreatic.cancer,Tgfbr1,ENSMUSG00000007613
pancreatic.cancer,Tgfbr2,ENSMUSG00000032440
pancreatic.cancer,Trp53,ENSMUSG00000059552
pancreatic.cancer,Vegfa,ENSMUSG00000023951
pancreatic.cancer,Akt3,ENSMUSG00000019699
pancreatic.cancer,E2f2,ENSMUSG00000018983
pancreatic.cancer,Map2k1,ENSMUSG00000004936
pancreatic.cancer,Mapk1,ENSMUSG00000063358
pancreatic.cancer,Mapk10,ENSMUSG00000046709
pancreatic.cancer,Mapk3,ENSMUSG00000063065
pancreatic.cancer,Mapk8,ENSMUSG00000021936
pancreatic.cancer,Mapk9,ENSMUSG00000020366
pancreatic.cancer,Pik3cg,ENSMUSG00000020573
pancreatic.cancer,Pik3r5,ENSMUSG00000020901
pancreatic.cancer,Rala,ENSMUSG00000008859
pancreatic.cancer,Ralb,ENSMUSG00000004451
pancreatic.cancer,Arhgef6,ENSMUSG00000031133
