Pathway,Gene,EnsemblID
pyrimidine.metabolism,RP23-103I12.10,ENSMUSG00000022066
pyrimidine.metabolism,Upb1,ENSMUSG00000033427
pyrimidine.metabolism,Nt5m,ENSMUSG00000032615
pyrimidine.metabolism,Nt5c3,ENSMUSG00000029780
pyrimidine.metabolism,Dut,ENSMUSG00000027203
pyrimidine.metabolism,Entpd1,ENSMUSG00000048120
pyrimidine.metabolism,Entpd6,ENSMUSG00000033068
pyrimidine.metabolism,Entpd5,ENSMUSG00000021236
pyrimidine.metabolism,Dck,ENSMUSG00000029366
pyrimidine.metabolism,Itpa,ENSMUSG00000074797
pyrimidine.metabolism,Nme7,ENSMUSG00000026575
pyrimidine.metabolism,Nme2,ENSMUSG00000020857
pyrimidine.metabolism,RP23-243M12.7,ENSMUSG00000021871
pyrimidine.metabolism,Pola1,ENSMUSG00000006678
pyrimidine.metabolism,Pola2,ENSMUSG00000024833
pyrimidine.metabolism,Pold1,ENSMUSG00000038644
pyrimidine.metabolism,Pold2,ENSMUSG00000020471
pyrimidine.metabolism,Pole,ENSMUSG00000007080
pyrimidine.metabolism,Pole2,ENSMUSG00000020974
pyrimidine.metabolism,Prim1,ENSMUSG00000025395
pyrimidine.metabolism,Prim2,ENSMUSG00000026134
pyrimidine.metabolism,Polr1c,ENSMUSG00000067148
pyrimidine.metabolism,Polr1b,ENSMUSG00000027395
pyrimidine.metabolism,Polr1d,ENSMUSG00000029642
pyrimidine.metabolism,Polr2a,ENSMUSG00000005198
pyrimidine.metabolism,Polr2c,ENSMUSG00000031783
pyrimidine.metabolism,Polr2j,ENSMUSG00000039771
pyrimidine.metabolism,Rrm1,ENSMUSG00000030978
pyrimidine.metabolism,Rrm2,ENSMUSG00000020649
pyrimidine.metabolism,Entpd3,ENSMUSG00000041608
pyrimidine.metabolism,Tk1,ENSMUSG00000025574
pyrimidine.metabolism,Polr3a,ENSMUSG00000025280
pyrimidine.metabolism,Dtymk,ENSMUSG00000026281
pyrimidine.metabolism,Cmpk2,ENSMUSG00000020638
pyrimidine.metabolism,Tyms,ENSMUSG00000025747
