Pathway,Gene,EnsemblID
vitamin.digestion.and.absorption,Slc19a2,ENSMUSG00000040918
vitamin.digestion.and.absorption,Apoa1,ENSMUSG00000032083
vitamin.digestion.and.absorption,Apoa4,ENSMUSG00000032080
vitamin.digestion.and.absorption,Gif,ENSMUSG00000024682
vitamin.digestion.and.absorption,Abcc1,ENSMUSG00000023088
vitamin.digestion.and.absorption,Rbp2,ENSMUSG00000032454
vitamin.digestion.and.absorption,Slc19a1,ENSMUSG00000001436
vitamin.digestion.and.absorption,Slc23a1,ENSMUSG00000024354
vitamin.digestion.and.absorption,Scarb1,ENSMUSG00000037936
vitamin.digestion.and.absorption,Tcn2,ENSMUSG00000020432
vitamin.digestion.and.absorption,Apob,ENSMUSG00000020609
vitamin.digestion.and.absorption,Awat2,ENSMUSG00000031220
vitamin.digestion.and.absorption,Btd,ENSMUSG00000021900
vitamin.digestion.and.absorption,Slc5a6,ENSMUSG00000006641
vitamin.digestion.and.absorption,Slc46a1,ENSMUSG00000020829
vitamin.digestion.and.absorption,Folh1,ENSMUSG00000001773
vitamin.digestion.and.absorption,Cubn,ENSMUSG00000026726
vitamin.digestion.and.absorption,Plb1,ENSMUSG00000029134
vitamin.digestion.and.absorption,Mmachc,ENSMUSG00000028690
vitamin.digestion.and.absorption,Lmbrd1,ENSMUSG00000073725
vitamin.digestion.and.absorption,Pnlip,ENSMUSG00000046008
vitamin.digestion.and.absorption,Slc52a3,ENSMUSG00000027463
vitamin.digestion.and.absorption,Lrat,ENSMUSG00000028003
vitamin.digestion.and.absorption,Slc19a3,ENSMUSG00000038496
