Pathway,Gene,EnsemblID
adrenergic.signaling.in.cardiomyocytes,Adcy4,ENSMUSG00000022220
adrenergic.signaling.in.cardiomyocytes,Adcy3,ENSMUSG00000020654
adrenergic.signaling.in.cardiomyocytes,Camk2d,ENSMUSG00000053819
adrenergic.signaling.in.cardiomyocytes,Actc1,ENSMUSG00000068614
adrenergic.signaling.in.cardiomyocytes,Adcy6,ENSMUSG00000022994
adrenergic.signaling.in.cardiomyocytes,Adcy7,ENSMUSG00000031659
adrenergic.signaling.in.cardiomyocytes,Adcy8,ENSMUSG00000022376
adrenergic.signaling.in.cardiomyocytes,Adra1b,ENSMUSG00000050541
adrenergic.signaling.in.cardiomyocytes,Adra1a,ENSMUSG00000045875
adrenergic.signaling.in.cardiomyocytes,Adrb1,ENSMUSG00000035283
adrenergic.signaling.in.cardiomyocytes,Adrb2,ENSMUSG00000045730
adrenergic.signaling.in.cardiomyocytes,Agtr1a,ENSMUSG00000049115
adrenergic.signaling.in.cardiomyocytes,Agtr1b,ENSMUSG00000054988
adrenergic.signaling.in.cardiomyocytes,Agtr2,ENSMUSG00000068122
adrenergic.signaling.in.cardiomyocytes,Akt1,ENSMUSG00000001729
adrenergic.signaling.in.cardiomyocytes,Akt2,ENSMUSG00000004056
adrenergic.signaling.in.cardiomyocytes,Atf2,ENSMUSG00000027104
adrenergic.signaling.in.cardiomyocytes,Atf4,ENSMUSG00000042406
adrenergic.signaling.in.cardiomyocytes,Atp1a1,ENSMUSG00000033161
adrenergic.signaling.in.cardiomyocytes,Atp1b1,ENSMUSG00000026576
adrenergic.signaling.in.cardiomyocytes,Atp1b2,ENSMUSG00000041329
adrenergic.signaling.in.cardiomyocytes,Atp1b3,ENSMUSG00000032412
adrenergic.signaling.in.cardiomyocytes,Fxyd2,ENSMUSG00000059412
adrenergic.signaling.in.cardiomyocytes,Atp2a2,ENSMUSG00000029467
adrenergic.signaling.in.cardiomyocytes,Atp2b2,ENSMUSG00000030302
adrenergic.signaling.in.cardiomyocytes,Bcl2,ENSMUSG00000057329
adrenergic.signaling.in.cardiomyocytes,Cacna1c,ENSMUSG00000051331
adrenergic.signaling.in.cardiomyocytes,Cacna1d,ENSMUSG00000015968
adrenergic.signaling.in.cardiomyocytes,Cacna1s,ENSMUSG00000026407
adrenergic.signaling.in.cardiomyocytes,Cacna2d1,ENSMUSG00000040118
adrenergic.signaling.in.cardiomyocytes,Cacna2d3,ENSMUSG00000021991
adrenergic.signaling.in.cardiomyocytes,Cacnb1,ENSMUSG00000020882
adrenergic.signaling.in.cardiomyocytes,Cacnb2,ENSMUSG00000057914
adrenergic.signaling.in.cardiomyocytes,Cacnb3,ENSMUSG00000003352
adrenergic.signaling.in.cardiomyocytes,Cacnb4,ENSMUSG00000017412
adrenergic.signaling.in.cardiomyocytes,Cacng1,ENSMUSG00000020722
adrenergic.signaling.in.cardiomyocytes,Calm1,ENSMUSG00000001175
adrenergic.signaling.in.cardiomyocytes,Calm2,ENSMUSG00000036438
adrenergic.signaling.in.cardiomyocytes,Calm3,ENSMUSG00000019370
adrenergic.signaling.in.cardiomyocytes,Camk2a,ENSMUSG00000024617
adrenergic.signaling.in.cardiomyocytes,Camk2b,ENSMUSG00000057897
adrenergic.signaling.in.cardiomyocytes,Camk2g,ENSMUSG00000021820
adrenergic.signaling.in.cardiomyocytes,Creb1,ENSMUSG00000025958
adrenergic.signaling.in.cardiomyocytes,Creb3,ENSMUSG00000028466
adrenergic.signaling.in.cardiomyocytes,Atf6b,ENSMUSG00000015461
adrenergic.signaling.in.cardiomyocytes,Crem,ENSMUSG00000063889
adrenergic.signaling.in.cardiomyocytes,Cacng5,ENSMUSG00000040373
adrenergic.signaling.in.cardiomyocytes,Myh7,ENSMUSG00000053093
adrenergic.signaling.in.cardiomyocytes,Gnai1,ENSMUSG00000057614
adrenergic.signaling.in.cardiomyocytes,Gnai2,ENSMUSG00000032562
adrenergic.signaling.in.cardiomyocytes,Gnai3,ENSMUSG00000000001
adrenergic.signaling.in.cardiomyocytes,Gnaq,ENSMUSG00000024639
adrenergic.signaling.in.cardiomyocytes,Gnas,ENSMUSG00000027523
adrenergic.signaling.in.cardiomyocytes,Kcne1,ENSMUSG00000039639
adrenergic.signaling.in.cardiomyocytes,Kcnq1,ENSMUSG00000009545
adrenergic.signaling.in.cardiomyocytes,Myh6,ENSMUSG00000040752
adrenergic.signaling.in.cardiomyocytes,Myl4,ENSMUSG00000061086
adrenergic.signaling.in.cardiomyocytes,Myl3,ENSMUSG00000059741
adrenergic.signaling.in.cardiomyocytes,Myl2,ENSMUSG00000013936
adrenergic.signaling.in.cardiomyocytes,Pik3ca,ENSMUSG00000027665
adrenergic.signaling.in.cardiomyocytes,Pik3cd,ENSMUSG00000039936
adrenergic.signaling.in.cardiomyocytes,Pik3r1,ENSMUSG00000041417
adrenergic.signaling.in.cardiomyocytes,Pik3r2,ENSMUSG00000031834
adrenergic.signaling.in.cardiomyocytes,Pik3r3,ENSMUSG00000028698
adrenergic.signaling.in.cardiomyocytes,Prkaca,ENSMUSG00000005469
adrenergic.signaling.in.cardiomyocytes,Prkacb,ENSMUSG00000005034
adrenergic.signaling.in.cardiomyocytes,Prkca,ENSMUSG00000050965
adrenergic.signaling.in.cardiomyocytes,Plcb1,ENSMUSG00000051177
adrenergic.signaling.in.cardiomyocytes,Plcb2,ENSMUSG00000040061
adrenergic.signaling.in.cardiomyocytes,Plcb3,ENSMUSG00000024960
adrenergic.signaling.in.cardiomyocytes,Plcb4,ENSMUSG00000039943
adrenergic.signaling.in.cardiomyocytes,Pln,ENSMUSG00000038583
adrenergic.signaling.in.cardiomyocytes,Ppp1ca,ENSMUSG00000040385
adrenergic.signaling.in.cardiomyocytes,Ppp1cc,ENSMUSG00000004455
adrenergic.signaling.in.cardiomyocytes,Ppp2cb,ENSMUSG00000009630
adrenergic.signaling.in.cardiomyocytes,Mapk11,ENSMUSG00000053137
adrenergic.signaling.in.cardiomyocytes,Ryr2,ENSMUSG00000021313
adrenergic.signaling.in.cardiomyocytes,Scn1b,ENSMUSG00000019194
adrenergic.signaling.in.cardiomyocytes,Scn5a,ENSMUSG00000032511
adrenergic.signaling.in.cardiomyocytes,Scn7a,ENSMUSG00000034810
adrenergic.signaling.in.cardiomyocytes,Slc9a1,ENSMUSG00000028854
adrenergic.signaling.in.cardiomyocytes,Creb3l3,ENSMUSG00000035041
adrenergic.signaling.in.cardiomyocytes,Adcy2,ENSMUSG00000021536
adrenergic.signaling.in.cardiomyocytes,Ppp2r5d,ENSMUSG00000059409
adrenergic.signaling.in.cardiomyocytes,Tnnc1,ENSMUSG00000091898
adrenergic.signaling.in.cardiomyocytes,Tnni3,ENSMUSG00000035458
adrenergic.signaling.in.cardiomyocytes,Tnnt2,ENSMUSG00000026414
adrenergic.signaling.in.cardiomyocytes,Tpm1,ENSMUSG00000032366
adrenergic.signaling.in.cardiomyocytes,Rapgef3,ENSMUSG00000022469
adrenergic.signaling.in.cardiomyocytes,Ppp2r5b,ENSMUSG00000024777
adrenergic.signaling.in.cardiomyocytes,Ppp2r5a,ENSMUSG00000026626
adrenergic.signaling.in.cardiomyocytes,Creb5,ENSMUSG00000053007
adrenergic.signaling.in.cardiomyocytes,Atp1a3,ENSMUSG00000040907
adrenergic.signaling.in.cardiomyocytes,Ppp2r3a,ENSMUSG00000043154
adrenergic.signaling.in.cardiomyocytes,Akt3,ENSMUSG00000019699
adrenergic.signaling.in.cardiomyocytes,Mapk1,ENSMUSG00000063358
adrenergic.signaling.in.cardiomyocytes,Mapk13,ENSMUSG00000004864
adrenergic.signaling.in.cardiomyocytes,Mapk14,ENSMUSG00000053436
adrenergic.signaling.in.cardiomyocytes,Mapk3,ENSMUSG00000063065
adrenergic.signaling.in.cardiomyocytes,Creb3l1,ENSMUSG00000027230
adrenergic.signaling.in.cardiomyocytes,Ppp2r5c,ENSMUSG00000017843
adrenergic.signaling.in.cardiomyocytes,Ppp2r5e,ENSMUSG00000021051
adrenergic.signaling.in.cardiomyocytes,Ppp2r2c,ENSMUSG00000029120
adrenergic.signaling.in.cardiomyocytes,Atp1a4,ENSMUSG00000007107
adrenergic.signaling.in.cardiomyocytes,Mapk12,ENSMUSG00000022610
adrenergic.signaling.in.cardiomyocytes,Pik3cg,ENSMUSG00000020573
adrenergic.signaling.in.cardiomyocytes,Cacna2d4,ENSMUSG00000041460
adrenergic.signaling.in.cardiomyocytes,Pik3r5,ENSMUSG00000020901
adrenergic.signaling.in.cardiomyocytes,Atp2b3,ENSMUSG00000031376
adrenergic.signaling.in.cardiomyocytes,Tpm4,ENSMUSG00000031799
adrenergic.signaling.in.cardiomyocytes,Atp2b4,ENSMUSG00000026463
adrenergic.signaling.in.cardiomyocytes,Scn4b,ENSMUSG00000046480
adrenergic.signaling.in.cardiomyocytes,Adcy1,ENSMUSG00000020431
adrenergic.signaling.in.cardiomyocytes,Ppp2r1a,ENSMUSG00000007564
adrenergic.signaling.in.cardiomyocytes,Ppp2r2d,ENSMUSG00000041769
adrenergic.signaling.in.cardiomyocytes,Cacna1f,ENSMUSG00000031142
adrenergic.signaling.in.cardiomyocytes,Rapgef4,ENSMUSG00000049044
adrenergic.signaling.in.cardiomyocytes,Cacna2d2,ENSMUSG00000010066
adrenergic.signaling.in.cardiomyocytes,Ppp1r1a,ENSMUSG00000022490
adrenergic.signaling.in.cardiomyocytes,Ppp2r3c,ENSMUSG00000021022
adrenergic.signaling.in.cardiomyocytes,Tpm3,ENSMUSG00000027940
adrenergic.signaling.in.cardiomyocytes,Atp1b4,ENSMUSG00000016327
adrenergic.signaling.in.cardiomyocytes,Atp2b1,ENSMUSG00000019943
adrenergic.signaling.in.cardiomyocytes,Calml3,ENSMUSG00000063130
adrenergic.signaling.in.cardiomyocytes,Ppp2r2a,ENSMUSG00000022052
adrenergic.signaling.in.cardiomyocytes,Ppp2r2b,ENSMUSG00000024500
adrenergic.signaling.in.cardiomyocytes,Rps6ka5,ENSMUSG00000021180
adrenergic.signaling.in.cardiomyocytes,Ppp2r1b,ENSMUSG00000032058
adrenergic.signaling.in.cardiomyocytes,Creb3l4,ENSMUSG00000027938
adrenergic.signaling.in.cardiomyocytes,Calm4,ENSMUSG00000033765
adrenergic.signaling.in.cardiomyocytes,Cacng8,ENSMUSG00000053395
adrenergic.signaling.in.cardiomyocytes,Atp1a2,ENSMUSG00000007097
