Pathway,Gene,EnsemblID
huntingtons.disease,Dnah7c,ENSMUSG00000101337
huntingtons.disease,Ndufb11,ENSMUSG00000031059
huntingtons.disease,Dnal1,ENSMUSG00000042523
huntingtons.disease,Ppif,ENSMUSG00000021868
huntingtons.disease,Grm5,ENSMUSG00000049583
huntingtons.disease,Dnah5,ENSMUSG00000022262
huntingtons.disease,Dnah12,ENSMUSG00000021879
huntingtons.disease,Dnah1,ENSMUSG00000019027
huntingtons.disease,Cox6b1,ENSMUSG00000036751
huntingtons.disease,Slc25a5,ENSMUSG00000016319
huntingtons.disease,Ap2a1,ENSMUSG00000060279
huntingtons.disease,Ap2a2,ENSMUSG00000002957
huntingtons.disease,Ap2m1,ENSMUSG00000022841
huntingtons.disease,Apaf1,ENSMUSG00000019979
huntingtons.disease,Atp5a1,ENSMUSG00000025428
huntingtons.disease,Atp5b,ENSMUSG00000025393
huntingtons.disease,Atp5c1,ENSMUSG00000025781
huntingtons.disease,Atp5f1,ENSMUSG00000000563
huntingtons.disease,Atp5j,ENSMUSG00000022890
huntingtons.disease,Bax,ENSMUSG00000003873
huntingtons.disease,Bdnf,ENSMUSG00000048482
huntingtons.disease,Casp8,ENSMUSG00000026029
huntingtons.disease,Casp9,ENSMUSG00000028914
huntingtons.disease,Clta,ENSMUSG00000028478
huntingtons.disease,Cox4i1,ENSMUSG00000031818
huntingtons.disease,Cox5a,ENSMUSG00000000088
huntingtons.disease,Cox6a1,ENSMUSG00000041697
huntingtons.disease,Cox6a2,ENSMUSG00000030785
huntingtons.disease,Cox6c,ENSMUSG00000014313
huntingtons.disease,Cox7a1,ENSMUSG00000074218
huntingtons.disease,Cox7a2,ENSMUSG00000032330
huntingtons.disease,Cox8a,ENSMUSG00000035885
huntingtons.disease,Cox8b,ENSMUSG00000025488
huntingtons.disease,Creb1,ENSMUSG00000025958
huntingtons.disease,Creb3,ENSMUSG00000028466
huntingtons.disease,Crebbp,ENSMUSG00000022521
huntingtons.disease,Cycs,ENSMUSG00000063694
huntingtons.disease,Cyct,ENSMUSG00000056436
huntingtons.disease,Dctn1,ENSMUSG00000031865
huntingtons.disease,Dlg4,ENSMUSG00000020886
huntingtons.disease,Dnah11,ENSMUSG00000018581
huntingtons.disease,Dnah8,ENSMUSG00000033826
huntingtons.disease,Gnaq,ENSMUSG00000024639
huntingtons.disease,Gpx1,ENSMUSG00000063856
