Pathway,Gene,EnsemblID
purine.metabolism,RP23-103I12.10,ENSMUSG00000022066
purine.metabolism,Ak6,ENSMUSG00000078941
purine.metabolism,Nt5m,ENSMUSG00000032615
purine.metabolism,Adcy4,ENSMUSG00000022220
purine.metabolism,Adcy3,ENSMUSG00000020654
purine.metabolism,Gmpr2,ENSMUSG00000002326
purine.metabolism,Nt5c3,ENSMUSG00000029780
purine.metabolism,Atic,ENSMUSG00000026192
purine.metabolism,Ampd2,ENSMUSG00000027889
purine.metabolism,Pde4c,ENSMUSG00000031842
purine.metabolism,Prps2,ENSMUSG00000025742
purine.metabolism,Pde6c,ENSMUSG00000024992
purine.metabolism,Ada,ENSMUSG00000017697
purine.metabolism,Adcy6,ENSMUSG00000022994
purine.metabolism,Adcy7,ENSMUSG00000031659
purine.metabolism,Adcy8,ENSMUSG00000022376
purine.metabolism,Adk,ENSMUSG00000039197
purine.metabolism,Adsl,ENSMUSG00000022407
purine.metabolism,Adssl1,ENSMUSG00000011148
purine.metabolism,Adss,ENSMUSG00000015961
purine.metabolism,Ak1,ENSMUSG00000026817
purine.metabolism,Ak2,ENSMUSG00000028792
purine.metabolism,Ak4,ENSMUSG00000028527
purine.metabolism,Ampd3,ENSMUSG00000005686
purine.metabolism,Aprt,ENSMUSG00000006589
purine.metabolism,Entpd1,ENSMUSG00000048120
purine.metabolism,Entpd2,ENSMUSG00000015085
purine.metabolism,Entpd6,ENSMUSG00000033068
purine.metabolism,Entpd5,ENSMUSG00000021236
purine.metabolism,Dck,ENSMUSG00000029366
purine.metabolism,Fhit,ENSMUSG00000060579
purine.metabolism,Gart,ENSMUSG00000022962
purine.metabolism,Gda,ENSMUSG00000058624
purine.metabolism,Gucy2c,ENSMUSG00000042638
purine.metabolism,Gucy2d,ENSMUSG00000074003
purine.metabolism,Gucy2e,ENSMUSG00000020890
purine.metabolism,Guk1,ENSMUSG00000020444
purine.metabolism,Hprt,ENSMUSG00000025630
purine.metabolism,Itpa,ENSMUSG00000074797
purine.metabolism,Nme7,ENSMUSG00000026575
purine.metabolism,Nme2,ENSMUSG00000020857
