Pathway,Gene,EnsemblID
legionellosis,Apaf1,ENSMUSG00000019979
legionellosis,Arf1,ENSMUSG00000048076
legionellosis,Bnip3,ENSMUSG00000078566
legionellosis,C3,ENSMUSG00000024164
legionellosis,Casp1,ENSMUSG00000025888
legionellosis,Casp7,ENSMUSG00000025076
legionellosis,Casp8,ENSMUSG00000026029
legionellosis,Casp9,ENSMUSG00000028914
legionellosis,Cd14,ENSMUSG00000051439
legionellosis,Clk1,ENSMUSG00000026034
legionellosis,Cycs,ENSMUSG00000063694
legionellosis,Cyct,ENSMUSG00000056436
legionellosis,Eef1a1,ENSMUSG00000037742
legionellosis,Eef1a2,ENSMUSG00000016349
legionellosis,Cxcl1,ENSMUSG00000029380
legionellosis,Hspa8,ENSMUSG00000015656
legionellosis,Hspa1l,ENSMUSG00000007033
legionellosis,Hsf1,ENSMUSG00000022556
legionellosis,Hspd1,ENSMUSG00000025980
legionellosis,Hspa1b,ENSMUSG00000090877
legionellosis,Hspa2,ENSMUSG00000059970
legionellosis,Il12a,ENSMUSG00000027776
legionellosis,Il18,ENSMUSG00000039217
legionellosis,Il1b,ENSMUSG00000027398
legionellosis,Il6,ENSMUSG00000025746
legionellosis,RP23-144N15.4,ENSMUSG00000108596
legionellosis,Itgb2,ENSMUSG00000000290
legionellosis,Itgb2l,ENSMUSG00000000157
legionellosis,Myd88,ENSMUSG00000032508
legionellosis,Naip1,ENSMUSG00000021640
legionellosis,Naip2,ENSMUSG00000078945
legionellosis,Naip5,ENSMUSG00000071203
legionellosis,Naip6,ENSMUSG00000078942
legionellosis,Nfkb1,ENSMUSG00000028163
legionellosis,Nfkb2,ENSMUSG00000025225
legionellosis,Nfkbia,ENSMUSG00000021025
legionellosis,Rab1a,ENSMUSG00000020149
legionellosis,Hspa1a,ENSMUSG00000091971
legionellosis,Rela,ENSMUSG00000024927
legionellosis,Sar1a,ENSMUSG00000020088
legionellosis,Cxcl2,ENSMUSG00000058427
legionellosis,Tlr4,ENSMUSG00000039005
legionellosis,Tnf,ENSMUSG00000024401
legionellosis,Tlr2,ENSMUSG00000027995
legionellosis,Nlrc4,ENSMUSG00000039193
legionellosis,Vcp,ENSMUSG00000028452
legionellosis,Cxcl3,ENSMUSG00000029379
legionellosis,Tlr5,ENSMUSG00000079164
legionellosis,Hbs1l,ENSMUSG00000019977
legionellosis,Sar1b,ENSMUSG00000020386
legionellosis,Eef1g,ENSMUSG00000071644
legionellosis,Rab1b,ENSMUSG00000024870
legionellosis,Bcl2l13,ENSMUSG00000009112
