Pathway,Gene,EnsemblID
estrogen.signaling.pathway,Adcy4,ENSMUSG00000022220
estrogen.signaling.pathway,Adcy3,ENSMUSG00000020654
estrogen.signaling.pathway,Raf1,ENSMUSG00000000441
estrogen.signaling.pathway,Adcy6,ENSMUSG00000022994
estrogen.signaling.pathway,Adcy7,ENSMUSG00000031659
estrogen.signaling.pathway,Adcy8,ENSMUSG00000022376
estrogen.signaling.pathway,Akt1,ENSMUSG00000001729
estrogen.signaling.pathway,Akt2,ENSMUSG00000004056
estrogen.signaling.pathway,Atf2,ENSMUSG00000027104
estrogen.signaling.pathway,Atf4,ENSMUSG00000042406
estrogen.signaling.pathway,Calm1,ENSMUSG00000001175
estrogen.signaling.pathway,Calm2,ENSMUSG00000036438
estrogen.signaling.pathway,Calm3,ENSMUSG00000019370
estrogen.signaling.pathway,Creb1,ENSMUSG00000025958
estrogen.signaling.pathway,Creb3,ENSMUSG00000028466
estrogen.signaling.pathway,Atf6b,ENSMUSG00000015461
estrogen.signaling.pathway,Egfr,ENSMUSG00000020122
estrogen.signaling.pathway,Esr1,ENSMUSG00000019768
estrogen.signaling.pathway,Esr2,ENSMUSG00000021055
estrogen.signaling.pathway,Fkbp4,ENSMUSG00000030357
estrogen.signaling.pathway,Fkbp5,ENSMUSG00000024222
estrogen.signaling.pathway,Fos,ENSMUSG00000021250
estrogen.signaling.pathway,Gnai1,ENSMUSG00000057614
estrogen.signaling.pathway,Gnai2,ENSMUSG00000032562
estrogen.signaling.pathway,Gnai3,ENSMUSG00000000001
estrogen.signaling.pathway,Gnao1,ENSMUSG00000031748
estrogen.signaling.pathway,Gnaq,ENSMUSG00000024639
estrogen.signaling.pathway,Gnas,ENSMUSG00000027523
estrogen.signaling.pathway,Grb2,ENSMUSG00000059923
estrogen.signaling.pathway,Grm1,ENSMUSG00000019828
estrogen.signaling.pathway,Hbegf,ENSMUSG00000024486
estrogen.signaling.pathway,Hras,ENSMUSG00000025499
estrogen.signaling.pathway,Hspa8,ENSMUSG00000015656
estrogen.signaling.pathway,Hspa1l,ENSMUSG00000007033
estrogen.signaling.pathway,Hspa1b,ENSMUSG00000090877
estrogen.signaling.pathway,Hspa2,ENSMUSG00000059970
estrogen.signaling.pathway,Hsp90ab1,ENSMUSG00000023944
estrogen.signaling.pathway,Hsp90aa1,ENSMUSG00000021270
estrogen.signaling.pathway,Itpr1,ENSMUSG00000030102
estrogen.signaling.pathway,Itpr2,ENSMUSG00000030287
estrogen.signaling.pathway,Itpr3,ENSMUSG00000042644
estrogen.signaling.pathway,Jun,ENSMUSG00000052684
estrogen.signaling.pathway,Kcnj3,ENSMUSG00000026824
estrogen.signaling.pathway,Kcnj5,ENSMUSG00000032034
estrogen.signaling.pathway,Kcnj6,ENSMUSG00000043301
estrogen.signaling.pathway,Kcnj9,ENSMUSG00000038026
estrogen.signaling.pathway,Kras,ENSMUSG00000030265
estrogen.signaling.pathway,Mmp2,ENSMUSG00000031740
estrogen.signaling.pathway,Mmp9,ENSMUSG00000017737
estrogen.signaling.pathway,Nos3,ENSMUSG00000028978
estrogen.signaling.pathway,Nras,ENSMUSG00000027852
estrogen.signaling.pathway,Oprm1,ENSMUSG00000000766
estrogen.signaling.pathway,Pik3ca,ENSMUSG00000027665
estrogen.signaling.pathway,Pik3cd,ENSMUSG00000039936
estrogen.signaling.pathway,Pik3r1,ENSMUSG00000041417
estrogen.signaling.pathway,Pik3r2,ENSMUSG00000031834
estrogen.signaling.pathway,Pik3r3,ENSMUSG00000028698
estrogen.signaling.pathway,Prkaca,ENSMUSG00000005469
estrogen.signaling.pathway,Prkacb,ENSMUSG00000005034
estrogen.signaling.pathway,Prkcd,ENSMUSG00000021948
estrogen.signaling.pathway,Plcb1,ENSMUSG00000051177
estrogen.signaling.pathway,Plcb2,ENSMUSG00000040061
estrogen.signaling.pathway,Plcb3,ENSMUSG00000024960
estrogen.signaling.pathway,Plcb4,ENSMUSG00000039943
estrogen.signaling.pathway,Hspa1a,ENSMUSG00000091971
estrogen.signaling.pathway,Shc1,ENSMUSG00000042626
estrogen.signaling.pathway,Shc3,ENSMUSG00000021448
estrogen.signaling.pathway,Sos1,ENSMUSG00000024241
estrogen.signaling.pathway,Sos2,ENSMUSG00000034801
estrogen.signaling.pathway,Sp1,ENSMUSG00000001280
estrogen.signaling.pathway,Src,ENSMUSG00000027646
estrogen.signaling.pathway,Creb3l3,ENSMUSG00000035041
estrogen.signaling.pathway,Adcy2,ENSMUSG00000021536
estrogen.signaling.pathway,Shc2,ENSMUSG00000020312
estrogen.signaling.pathway,Hsp90b1,ENSMUSG00000020048
estrogen.signaling.pathway,Creb5,ENSMUSG00000053007
estrogen.signaling.pathway,Akt3,ENSMUSG00000019699
estrogen.signaling.pathway,Map2k1,ENSMUSG00000004936
estrogen.signaling.pathway,Map2k2,ENSMUSG00000035027
estrogen.signaling.pathway,Mapk1,ENSMUSG00000063358
estrogen.signaling.pathway,Mapk3,ENSMUSG00000063065
estrogen.signaling.pathway,Creb3l1,ENSMUSG00000027230
estrogen.signaling.pathway,Shc4,ENSMUSG00000035109
estrogen.signaling.pathway,Pik3cg,ENSMUSG00000020573
estrogen.signaling.pathway,Pik3r5,ENSMUSG00000020901
estrogen.signaling.pathway,Adcy1,ENSMUSG00000020431
estrogen.signaling.pathway,Gabbr1,ENSMUSG00000024462
estrogen.signaling.pathway,Calml3,ENSMUSG00000063130
estrogen.signaling.pathway,Gper1,ENSMUSG00000053647
estrogen.signaling.pathway,Creb3l4,ENSMUSG00000027938
estrogen.signaling.pathway,Calm4,ENSMUSG00000033765
