Pathway,Gene,EnsemblID
endocrine.and.other.factor.regulated.calcium.reabsorption,Dnm3,ENSMUSG00000040265
endocrine.and.other.factor.regulated.calcium.reabsorption,Adcy6,ENSMUSG00000022994
endocrine.and.other.factor.regulated.calcium.reabsorption,Ap2a1,ENSMUSG00000060279
endocrine.and.other.factor.regulated.calcium.reabsorption,Ap2a2,ENSMUSG00000002957
endocrine.and.other.factor.regulated.calcium.reabsorption,Ap2m1,ENSMUSG00000022841
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1a1,ENSMUSG00000033161
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1b1,ENSMUSG00000026576
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1b2,ENSMUSG00000041329
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1b3,ENSMUSG00000032412
endocrine.and.other.factor.regulated.calcium.reabsorption,Fxyd2,ENSMUSG00000059412
endocrine.and.other.factor.regulated.calcium.reabsorption,Bdkrb2,ENSMUSG00000021070
endocrine.and.other.factor.regulated.calcium.reabsorption,Clta,ENSMUSG00000028478
endocrine.and.other.factor.regulated.calcium.reabsorption,Dnm1,ENSMUSG00000026825
endocrine.and.other.factor.regulated.calcium.reabsorption,Dnm2,ENSMUSG00000033335
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b22,ENSMUSG00000060177
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b9,ENSMUSG00000059042
endocrine.and.other.factor.regulated.calcium.reabsorption,Esr1,ENSMUSG00000019768
endocrine.and.other.factor.regulated.calcium.reabsorption,Gnaq,ENSMUSG00000024639
endocrine.and.other.factor.regulated.calcium.reabsorption,Gnas,ENSMUSG00000027523
endocrine.and.other.factor.regulated.calcium.reabsorption,Kl,ENSMUSG00000058488
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1,ENSMUSG00000063903
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b11,ENSMUSG00000044485
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b21,ENSMUSG00000066516
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b24,ENSMUSG00000063713
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b1,ENSMUSG00000063133
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b8,ENSMUSG00000063089
endocrine.and.other.factor.regulated.calcium.reabsorption,Klk1b3,ENSMUSG00000066515
endocrine.and.other.factor.regulated.calcium.reabsorption,Prkaca,ENSMUSG00000005469
endocrine.and.other.factor.regulated.calcium.reabsorption,Prkacb,ENSMUSG00000005034
endocrine.and.other.factor.regulated.calcium.reabsorption,Prkca,ENSMUSG00000050965
endocrine.and.other.factor.regulated.calcium.reabsorption,Prkcb,ENSMUSG00000052889
endocrine.and.other.factor.regulated.calcium.reabsorption,Prkcg,ENSMUSG00000078816
endocrine.and.other.factor.regulated.calcium.reabsorption,Plcb1,ENSMUSG00000051177
endocrine.and.other.factor.regulated.calcium.reabsorption,Plcb2,ENSMUSG00000040061
endocrine.and.other.factor.regulated.calcium.reabsorption,Plcb3,ENSMUSG00000024960
endocrine.and.other.factor.regulated.calcium.reabsorption,Plcb4,ENSMUSG00000039943
endocrine.and.other.factor.regulated.calcium.reabsorption,Pth1r,ENSMUSG00000032492
endocrine.and.other.factor.regulated.calcium.reabsorption,Trpv5,ENSMUSG00000036899
endocrine.and.other.factor.regulated.calcium.reabsorption,Vdr,ENSMUSG00000022479
endocrine.and.other.factor.regulated.calcium.reabsorption,Ap2s1,ENSMUSG00000008036
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1a3,ENSMUSG00000040907
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1a4,ENSMUSG00000007107
endocrine.and.other.factor.regulated.calcium.reabsorption,Rab11a,ENSMUSG00000004771
endocrine.and.other.factor.regulated.calcium.reabsorption,Cltc,ENSMUSG00000047126
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1b4,ENSMUSG00000016327
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp2b1,ENSMUSG00000019943
endocrine.and.other.factor.regulated.calcium.reabsorption,Ap2b1,ENSMUSG00000035152
endocrine.and.other.factor.regulated.calcium.reabsorption,Cltb,ENSMUSG00000047547
endocrine.and.other.factor.regulated.calcium.reabsorption,Atp1a2,ENSMUSG00000007097
