Pathway,Gene,EnsemblID
staphylococcus.aureus.infection,Cfd,ENSMUSG00000061780
staphylococcus.aureus.infection,C1qa,ENSMUSG00000036887
staphylococcus.aureus.infection,C1qb,ENSMUSG00000036905
staphylococcus.aureus.infection,C1qc,ENSMUSG00000036896
staphylococcus.aureus.infection,C2,ENSMUSG00000024371
staphylococcus.aureus.infection,C3,ENSMUSG00000024164
staphylococcus.aureus.infection,C3ar1,ENSMUSG00000040552
staphylococcus.aureus.infection,C4b,ENSMUSG00000073418
staphylococcus.aureus.infection,C5ar1,ENSMUSG00000049130
staphylococcus.aureus.infection,Cfh,ENSMUSG00000026365
staphylococcus.aureus.infection,Cfi,ENSMUSG00000058952
staphylococcus.aureus.infection,Dsg1a,ENSMUSG00000069441
staphylococcus.aureus.infection,Fcgr1,ENSMUSG00000015947
staphylococcus.aureus.infection,Fcgr2b,ENSMUSG00000026656
staphylococcus.aureus.infection,Fcgr3,ENSMUSG00000059498
staphylococcus.aureus.infection,Fpr2,ENSMUSG00000052270
staphylococcus.aureus.infection,Fpr1,ENSMUSG00000045551
staphylococcus.aureus.infection,Fpr3,ENSMUSG00000079700
staphylococcus.aureus.infection,H2-Aa,ENSMUSG00000036594
staphylococcus.aureus.infection,H2-Ab1,ENSMUSG00000073421
staphylococcus.aureus.infection,Cfb,ENSMUSG00000090231
staphylococcus.aureus.infection,H2-DMa,ENSMUSG00000037649
staphylococcus.aureus.infection,H2-DMb1,ENSMUSG00000079547
staphylococcus.aureus.infection,H2-Oa,ENSMUSG00000024334
staphylococcus.aureus.infection,H2-Ob,ENSMUSG00000041538
staphylococcus.aureus.infection,Hc,ENSMUSG00000026874
staphylococcus.aureus.infection,Icam1,ENSMUSG00000037405
staphylococcus.aureus.infection,Il10,ENSMUSG00000016529
staphylococcus.aureus.infection,Itgal,ENSMUSG00000030830
staphylococcus.aureus.infection,RP23-144N15.4,ENSMUSG00000108596
staphylococcus.aureus.infection,Itgb2,ENSMUSG00000000290
staphylococcus.aureus.infection,Itgb2l,ENSMUSG00000000157
staphylococcus.aureus.infection,Krt10,ENSMUSG00000019761
staphylococcus.aureus.infection,Masp1,ENSMUSG00000022887
staphylococcus.aureus.infection,Masp2,ENSMUSG00000028979
staphylococcus.aureus.infection,Mbl1,ENSMUSG00000037780
staphylococcus.aureus.infection,Mbl2,ENSMUSG00000024863
staphylococcus.aureus.infection,Plg,ENSMUSG00000059481
staphylococcus.aureus.infection,Selp,ENSMUSG00000026580
staphylococcus.aureus.infection,Dsg1b,ENSMUSG00000061928
staphylococcus.aureus.infection,Fcgr4,ENSMUSG00000059089
staphylococcus.aureus.infection,C1s2,ENSMUSG00000079343
staphylococcus.aureus.infection,C1s1,ENSMUSG00000038521
staphylococcus.aureus.infection,C1ra,ENSMUSG00000055172
staphylococcus.aureus.infection,Fgg,ENSMUSG00000033860
