Pathway,Gene,EnsemblID
jak.stat.signaling.pathway,Il11ra2,ENSMUSG00000073876
jak.stat.signaling.pathway,Raf1,ENSMUSG00000000441
jak.stat.signaling.pathway,Akt1,ENSMUSG00000001729
jak.stat.signaling.pathway,Akt2,ENSMUSG00000004056
jak.stat.signaling.pathway,Aox1,ENSMUSG00000063558
jak.stat.signaling.pathway,Bcl2,ENSMUSG00000057329
jak.stat.signaling.pathway,Bcl2l1,ENSMUSG00000007659
jak.stat.signaling.pathway,Ccnd1,ENSMUSG00000070348
jak.stat.signaling.pathway,Ccnd2,ENSMUSG00000000184
jak.stat.signaling.pathway,Ccnd3,ENSMUSG00000034165
jak.stat.signaling.pathway,Cdkn1a,ENSMUSG00000023067
jak.stat.signaling.pathway,Socs3,ENSMUSG00000053113
jak.stat.signaling.pathway,Socs1,ENSMUSG00000038037
jak.stat.signaling.pathway,Cntf,ENSMUSG00000079415
jak.stat.signaling.pathway,Cntfr,ENSMUSG00000028444
jak.stat.signaling.pathway,Crebbp,ENSMUSG00000022521
jak.stat.signaling.pathway,Csf2ra,ENSMUSG00000059326
jak.stat.signaling.pathway,Csf2rb,ENSMUSG00000071713
jak.stat.signaling.pathway,Csf2rb2,ENSMUSG00000071714
jak.stat.signaling.pathway,Csf3,ENSMUSG00000038067
jak.stat.signaling.pathway,Csf3r,ENSMUSG00000028859
jak.stat.signaling.pathway,Ctf1,ENSMUSG00000042340
jak.stat.signaling.pathway,Epo,ENSMUSG00000029711
jak.stat.signaling.pathway,Epor,ENSMUSG00000006235
jak.stat.signaling.pathway,Fhl1,ENSMUSG00000023092
jak.stat.signaling.pathway,Gfap,ENSMUSG00000020932
jak.stat.signaling.pathway,Gh,ENSMUSG00000020713
jak.stat.signaling.pathway,Ghr,ENSMUSG00000055737
jak.stat.signaling.pathway,Grb2,ENSMUSG00000059923
jak.stat.signaling.pathway,Ptpn6,ENSMUSG00000004266
jak.stat.signaling.pathway,Hras,ENSMUSG00000025499
jak.stat.signaling.pathway,Ifna1,ENSMUSG00000095498
jak.stat.signaling.pathway,Ifna11,ENSMUSG00000100549
jak.stat.signaling.pathway,Ifna4,ENSMUSG00000070904
jak.stat.signaling.pathway,Ifna5,ENSMUSG00000096682
jak.stat.signaling.pathway,Ifna6,ENSMUSG00000101252
jak.stat.signaling.pathway,Ifna7,ENSMUSG00000100713
jak.stat.signaling.pathway,Ifna9,ENSMUSG00000095270
jak.stat.signaling.pathway,Ifnar1,ENSMUSG00000022967
jak.stat.signaling.pathway,Ifnar2,ENSMUSG00000022971
jak.stat.signaling.pathway,Ifnb1,ENSMUSG00000048806
jak.stat.signaling.pathway,Ifng,ENSMUSG00000055170
jak.stat.signaling.pathway,Ifngr1,ENSMUSG00000020009
jak.stat.signaling.pathway,Il10,ENSMUSG00000016529
jak.stat.signaling.pathway,Il10ra,ENSMUSG00000032089
jak.stat.signaling.pathway,Il10rb,ENSMUSG00000022969
jak.stat.signaling.pathway,Il11,ENSMUSG00000004371
