Pathway,Gene,EnsemblID
ribosome,Rps27rt,ENSMUSG00000050621
ribosome,Rpl5,ENSMUSG00000058558
ribosome,Mrpl10,ENSMUSG00000001445
ribosome,Mrpl30,ENSMUSG00000026087
ribosome,Rpl10,ENSMUSG00000008682
ribosome,Rpl31,ENSMUSG00000073702
ribosome,Rplp0,ENSMUSG00000067274
ribosome,Mrps2,ENSMUSG00000035772
ribosome,Mrps6,ENSMUSG00000039680
ribosome,Fau,ENSMUSG00000038274
ribosome,Rpsa,ENSMUSG00000032518
ribosome,Rps2,ENSMUSG00000044533
ribosome,Rpl10a,ENSMUSG00000037805
ribosome,Rpl18,ENSMUSG00000059070
ribosome,Rpl19,ENSMUSG00000017404
ribosome,Rpl21,ENSMUSG00000041453
ribosome,Rpl22,ENSMUSG00000028936
ribosome,Mrpl23,ENSMUSG00000037772
ribosome,Rpl26,ENSMUSG00000060938
ribosome,Rpl27,ENSMUSG00000063316
ribosome,Rpl29,ENSMUSG00000048758
ribosome,Rpl30,ENSMUSG00000058600
ribosome,Rpl32,ENSMUSG00000057841
ribosome,Rpl37a,ENSMUSG00000046330
ribosome,Rpl36a,ENSMUSG00000079435
ribosome,Rpl6,ENSMUSG00000029614
ribosome,Rpl7,ENSMUSG00000043716
ribosome,Rpl9,ENSMUSG00000047215
ribosome,Rps12,ENSMUSG00000061983
ribosome,Rps14,ENSMUSG00000024608
ribosome,Rps15,ENSMUSG00000063457
ribosome,Rps17,ENSMUSG00000061787
ribosome,Rps18,ENSMUSG00000008668
ribosome,Rps19,ENSMUSG00000040952
ribosome,Rps24,ENSMUSG00000025290
ribosome,Rps29,ENSMUSG00000034892
ribosome,Rps3a1,ENSMUSG00000028081
ribosome,Rps4x,ENSMUSG00000031320
ribosome,Rps5,ENSMUSG00000012848
ribosome,Rps7,ENSMUSG00000061477
ribosome,Rps8,ENSMUSG00000047675
ribosome,Mrpl22,ENSMUSG00000020514
ribosome,Rpl13a,ENSMUSG00000074129
ribosome,Uba52,ENSMUSG00000090137
ribosome,Rsl24d1,ENSMUSG00000032215
ribosome,Mrps12,ENSMUSG00000045948
ribosome,Rpl27a,ENSMUSG00000046364
ribosome,Rps15a,ENSMUSG00000008683
ribosome,Rpl23a,ENSMUSG00000058546
ribosome,Rpl8,ENSMUSG00000003970
ribosome,Rpl13,ENSMUSG00000000740
ribosome,Rps3,ENSMUSG00000030744
ribosome,Rpl7a,ENSMUSG00000062647
ribosome,Rps11,ENSMUSG00000003429
ribosome,Rpl3,ENSMUSG00000060036
ribosome,Rps26,ENSMUSG00000025362
ribosome,Mrpl15,ENSMUSG00000033845
ribosome,Mrpl2,ENSMUSG00000002767
ribosome,Rpl17,ENSMUSG00000062328
ribosome,Mrpl21,ENSMUSG00000024829
ribosome,Rps28,ENSMUSG00000067288
ribosome,Rpl36,ENSMUSG00000057863
ribosome,Rplp1,ENSMUSG00000007892
ribosome,Mrpl19,ENSMUSG00000030045
ribosome,Rps27,ENSMUSG00000090733
ribosome,Rpl35a,ENSMUSG00000060636
ribosome,Mrps10,ENSMUSG00000034729
ribosome,Rpl23,ENSMUSG00000071415
ribosome,Mrpl4,ENSMUSG00000003299
ribosome,Rpl3l,ENSMUSG00000002500
ribosome,Mrpl35,ENSMUSG00000052962
ribosome,Mrps16,ENSMUSG00000049960
ribosome,Mrps17,ENSMUSG00000034211
ribosome,Mrps21,ENSMUSG00000054312
ribosome,Mrps15,ENSMUSG00000028861
ribosome,Mrpl11,ENSMUSG00000024902
ribosome,Mrpl20,ENSMUSG00000029066
ribosome,Rpl15,ENSMUSG00000012405
ribosome,Rps21,ENSMUSG00000039001
ribosome,Rpl36al,ENSMUSG00000049751
ribosome,Mrpl33,ENSMUSG00000106918
ribosome,Rps10,ENSMUSG00000052146
ribosome,Rpl14,ENSMUSG00000025794
ribosome,Rplp2,ENSMUSG00000025508
ribosome,Rpl37,ENSMUSG00000041841
ribosome,Rpl38,ENSMUSG00000057322
ribosome,Rpl4,ENSMUSG00000032399
ribosome,Rps27l,ENSMUSG00000036781
ribosome,Rpl41,ENSMUSG00000093674
ribosome,Mrps11,ENSMUSG00000030611
ribosome,Rpl22l1,ENSMUSG00000039221
ribosome,Rps13,ENSMUSG00000090862
ribosome,Rpl39l,ENSMUSG00000039209
ribosome,Rpl24,ENSMUSG00000098274
ribosome,Rpl34,ENSMUSG00000062006
ribosome,Mrpl14,ENSMUSG00000023939
ribosome,Mrps18a,ENSMUSG00000023967
ribosome,Mrpl28,ENSMUSG00000024181
ribosome,Mrps9,ENSMUSG00000060679
ribosome,Mrpl32,ENSMUSG00000015672
ribosome,Rps25,ENSMUSG00000009927
ribosome,Rpl18a,ENSMUSG00000045128
ribosome,Rps9,ENSMUSG00000006333
ribosome,Rps27a,ENSMUSG00000020460
ribosome,Mrpl9,ENSMUSG00000028140
ribosome,Mrpl1,ENSMUSG00000029486
ribosome,Mrpl16,ENSMUSG00000024683
ribosome,Mrpl27,ENSMUSG00000024414
ribosome,Mrpl34,ENSMUSG00000034880
ribosome,Mrpl36,ENSMUSG00000021607
