Pathway,Gene,EnsemblID
mapk.signaling.pathway,RP23-359B23.7,ENSMUSG00000095845
mapk.signaling.pathway,Mapkapk3,ENSMUSG00000032577
mapk.signaling.pathway,Arrb1,ENSMUSG00000018909
mapk.signaling.pathway,Braf,ENSMUSG00000002413
mapk.signaling.pathway,Rap1a,ENSMUSG00000068798
mapk.signaling.pathway,Raf1,ENSMUSG00000000441
mapk.signaling.pathway,Rps6ka3,ENSMUSG00000031309
mapk.signaling.pathway,Rasa2,ENSMUSG00000032413
mapk.signaling.pathway,Akt1,ENSMUSG00000001729
mapk.signaling.pathway,Akt2,ENSMUSG00000004056
mapk.signaling.pathway,Atf2,ENSMUSG00000027104
mapk.signaling.pathway,Atf4,ENSMUSG00000042406
mapk.signaling.pathway,Bdnf,ENSMUSG00000048482
mapk.signaling.pathway,Cacna1a,ENSMUSG00000034656
mapk.signaling.pathway,Cacna1b,ENSMUSG00000004113
mapk.signaling.pathway,Cacna1c,ENSMUSG00000051331
mapk.signaling.pathway,Cacna1d,ENSMUSG00000015968
mapk.signaling.pathway,Cacna1e,ENSMUSG00000004110
mapk.signaling.pathway,Cacna1g,ENSMUSG00000020866
mapk.signaling.pathway,Cacna1s,ENSMUSG00000026407
mapk.signaling.pathway,Cacna2d1,ENSMUSG00000040118
mapk.signaling.pathway,Cacna2d3,ENSMUSG00000021991
mapk.signaling.pathway,Cacnb1,ENSMUSG00000020882
mapk.signaling.pathway,Cacnb2,ENSMUSG00000057914
mapk.signaling.pathway,Cacnb3,ENSMUSG00000003352
mapk.signaling.pathway,Cacnb4,ENSMUSG00000017412
mapk.signaling.pathway,Cacng1,ENSMUSG00000020722
mapk.signaling.pathway,Cd14,ENSMUSG00000051439
mapk.signaling.pathway,Cdc25b,ENSMUSG00000027330
mapk.signaling.pathway,Cdc42,ENSMUSG00000006699
mapk.signaling.pathway,Chuk,ENSMUSG00000025199
mapk.signaling.pathway,Daxx,ENSMUSG00000002307
mapk.signaling.pathway,Gadd45a,ENSMUSG00000036390
mapk.signaling.pathway,Ddit3,ENSMUSG00000025408
mapk.signaling.pathway,Dusp2,ENSMUSG00000027368
mapk.signaling.pathway,Egf,ENSMUSG00000028017
mapk.signaling.pathway,Egfr,ENSMUSG00000020122
mapk.signaling.pathway,Elk1,ENSMUSG00000009406
mapk.signaling.pathway,Elk4,ENSMUSG00000026436
mapk.signaling.pathway,Mecom,ENSMUSG00000027684
mapk.signaling.pathway,Cacng5,ENSMUSG00000040373
mapk.signaling.pathway,Fas,ENSMUSG00000024778
mapk.signaling.pathway,Fasl,ENSMUSG00000000817
mapk.signaling.pathway,Fgf1,ENSMUSG00000036585
mapk.signaling.pathway,Fgf10,ENSMUSG00000021732
mapk.signaling.pathway,Fgf11,ENSMUSG00000042826
mapk.signaling.pathway,Fgf13,ENSMUSG00000031137
mapk.signaling.pathway,Fgf14,ENSMUSG00000025551
mapk.signaling.pathway,Fgf15,ENSMUSG00000031073
mapk.signaling.pathway,Fgf17,ENSMUSG00000022101
mapk.signaling.pathway,Fgf3,ENSMUSG00000031074
mapk.signaling.pathway,Fgf4,ENSMUSG00000050917
mapk.signaling.pathway,Fgf5,ENSMUSG00000029337
mapk.signaling.pathway,Fgf7,ENSMUSG00000027208
mapk.signaling.pathway,Fgf8,ENSMUSG00000025219
mapk.signaling.pathway,Fgfr1,ENSMUSG00000031565
mapk.signaling.pathway,Fgfr2,ENSMUSG00000030849
mapk.signaling.pathway,Fgfr3,ENSMUSG00000054252
mapk.signaling.pathway,Fgfr4,ENSMUSG00000005320
mapk.signaling.pathway,Fos,ENSMUSG00000021250
mapk.signaling.pathway,Gng12,ENSMUSG00000036402
mapk.signaling.pathway,Grb2,ENSMUSG00000059923
mapk.signaling.pathway,Nr4a1,ENSMUSG00000023034
mapk.signaling.pathway,Hras,ENSMUSG00000025499
mapk.signaling.pathway,Hspa8,ENSMUSG00000015656
mapk.signaling.pathway,Hspa1l,ENSMUSG00000007033
mapk.signaling.pathway,Hspb1,ENSMUSG00000004951
mapk.signaling.pathway,Hspa1b,ENSMUSG00000090877
mapk.signaling.pathway,Hspa2,ENSMUSG00000059970
mapk.signaling.pathway,Ikbkb,ENSMUSG00000031537
mapk.signaling.pathway,Ikbkg,ENSMUSG00000004221
mapk.signaling.pathway,Il1a,ENSMUSG00000027399
mapk.signaling.pathway,Il1b,ENSMUSG00000027398
mapk.signaling.pathway,Il1r1,ENSMUSG00000026072
mapk.signaling.pathway,Il1r2,ENSMUSG00000026073
mapk.signaling.pathway,Jun,ENSMUSG00000052684
mapk.signaling.pathway,Jund,ENSMUSG00000071076
mapk.signaling.pathway,Kras,ENSMUSG00000030265
mapk.signaling.pathway,Stmn1,ENSMUSG00000028832
mapk.signaling.pathway,Rac3,ENSMUSG00000018012
mapk.signaling.pathway,Mapkapk2,ENSMUSG00000016528
mapk.signaling.pathway,Mapkapk5,ENSMUSG00000029454
mapk.signaling.pathway,Max,ENSMUSG00000059436
mapk.signaling.pathway,Mef2c,ENSMUSG00000005583
mapk.signaling.pathway,Mknk1,ENSMUSG00000028708
mapk.signaling.pathway,Mknk2,ENSMUSG00000020190
mapk.signaling.pathway,Mos,ENSMUSG00000078365
mapk.signaling.pathway,Mras,ENSMUSG00000032470
mapk.signaling.pathway,Mapt,ENSMUSG00000018411
mapk.signaling.pathway,Myc,ENSMUSG00000022346
mapk.signaling.pathway,Gadd45b,ENSMUSG00000015312
mapk.signaling.pathway,Nf1,ENSMUSG00000020716
mapk.signaling.pathway,Nfatc1,ENSMUSG00000033016
mapk.signaling.pathway,Nfatc3,ENSMUSG00000031902
