Pathway,Gene,EnsemblID
bacterial.invasion.of.epithelial.cells,Dnm3,ENSMUSG00000040265
bacterial.invasion.of.epithelial.cells,Actb,ENSMUSG00000029580
bacterial.invasion.of.epithelial.cells,Actg1,ENSMUSG00000062825
bacterial.invasion.of.epithelial.cells,Rhoa,ENSMUSG00000007815
bacterial.invasion.of.epithelial.cells,Arpc1b,ENSMUSG00000029622
bacterial.invasion.of.epithelial.cells,Ctnna1,ENSMUSG00000037815
bacterial.invasion.of.epithelial.cells,Ctnna2,ENSMUSG00000063063
bacterial.invasion.of.epithelial.cells,Ctnnb1,ENSMUSG00000006932
bacterial.invasion.of.epithelial.cells,Cav1,ENSMUSG00000007655
bacterial.invasion.of.epithelial.cells,Cav2,ENSMUSG00000000058
bacterial.invasion.of.epithelial.cells,Cav3,ENSMUSG00000062694
bacterial.invasion.of.epithelial.cells,Cbl,ENSMUSG00000034342
bacterial.invasion.of.epithelial.cells,Cd2ap,ENSMUSG00000061665
bacterial.invasion.of.epithelial.cells,Cdc42,ENSMUSG00000006699
bacterial.invasion.of.epithelial.cells,Cdh1,ENSMUSG00000000303
bacterial.invasion.of.epithelial.cells,Clta,ENSMUSG00000028478
bacterial.invasion.of.epithelial.cells,Bcar1,ENSMUSG00000031955
bacterial.invasion.of.epithelial.cells,Cttn,ENSMUSG00000031078
bacterial.invasion.of.epithelial.cells,Dnm1,ENSMUSG00000026825
bacterial.invasion.of.epithelial.cells,Dnm2,ENSMUSG00000033335
bacterial.invasion.of.epithelial.cells,Elmo2,ENSMUSG00000017670
bacterial.invasion.of.epithelial.cells,Elmo1,ENSMUSG00000041112
bacterial.invasion.of.epithelial.cells,Ptk2,ENSMUSG00000022607
bacterial.invasion.of.epithelial.cells,Fn1,ENSMUSG00000026193
bacterial.invasion.of.epithelial.cells,Gab1,ENSMUSG00000031714
bacterial.invasion.of.epithelial.cells,Hcls1,ENSMUSG00000022831
bacterial.invasion.of.epithelial.cells,Ilk,ENSMUSG00000030890
bacterial.invasion.of.epithelial.cells,Itga5,ENSMUSG00000000555
bacterial.invasion.of.epithelial.cells,Itgb1,ENSMUSG00000025809
bacterial.invasion.of.epithelial.cells,Met,ENSMUSG00000009376
bacterial.invasion.of.epithelial.cells,Sept2,ENSMUSG00000026276
bacterial.invasion.of.epithelial.cells,Pik3ca,ENSMUSG00000027665
bacterial.invasion.of.epithelial.cells,Pik3cd,ENSMUSG00000039936
bacterial.invasion.of.epithelial.cells,Pik3r1,ENSMUSG00000041417
bacterial.invasion.of.epithelial.cells,Pik3r2,ENSMUSG00000031834
bacterial.invasion.of.epithelial.cells,Pik3r3,ENSMUSG00000028698
bacterial.invasion.of.epithelial.cells,Pxn,ENSMUSG00000029528
bacterial.invasion.of.epithelial.cells,Rac1,ENSMUSG00000001847
bacterial.invasion.of.epithelial.cells,Sept8,ENSMUSG00000018398
bacterial.invasion.of.epithelial.cells,Shc1,ENSMUSG00000042626
bacterial.invasion.of.epithelial.cells,Shc3,ENSMUSG00000021448
bacterial.invasion.of.epithelial.cells,Src,ENSMUSG00000027646
bacterial.invasion.of.epithelial.cells,Cblb,ENSMUSG00000022637
bacterial.invasion.of.epithelial.cells,Ctnna3,ENSMUSG00000060843
bacterial.invasion.of.epithelial.cells,Shc2,ENSMUSG00000020312
bacterial.invasion.of.epithelial.cells,Vcl,ENSMUSG00000021823
bacterial.invasion.of.epithelial.cells,Was,ENSMUSG00000031165
bacterial.invasion.of.epithelial.cells,Elmo3,ENSMUSG00000014791
bacterial.invasion.of.epithelial.cells,Sept3,ENSMUSG00000022456
bacterial.invasion.of.epithelial.cells,Wasf2,ENSMUSG00000028868
bacterial.invasion.of.epithelial.cells,Shc4,ENSMUSG00000035109
bacterial.invasion.of.epithelial.cells,Pik3cg,ENSMUSG00000020573
bacterial.invasion.of.epithelial.cells,Pik3r5,ENSMUSG00000020901
bacterial.invasion.of.epithelial.cells,Dock1,ENSMUSG00000058325
bacterial.invasion.of.epithelial.cells,Sept11,ENSMUSG00000058013
bacterial.invasion.of.epithelial.cells,Sept9,ENSMUSG00000059248
bacterial.invasion.of.epithelial.cells,Sept1,ENSMUSG00000000486
bacterial.invasion.of.epithelial.cells,Rhog,ENSMUSG00000073982
bacterial.invasion.of.epithelial.cells,Arpc3,ENSMUSG00000029465
bacterial.invasion.of.epithelial.cells,Arpc1a,ENSMUSG00000029621
bacterial.invasion.of.epithelial.cells,Sept6,ENSMUSG00000050379
bacterial.invasion.of.epithelial.cells,Arhgef26,ENSMUSG00000036885
bacterial.invasion.of.epithelial.cells,Cltc,ENSMUSG00000047126
bacterial.invasion.of.epithelial.cells,RP24-82B18.3,ENSMUSG00000036463
bacterial.invasion.of.epithelial.cells,Arpc5,ENSMUSG00000008475
bacterial.invasion.of.epithelial.cells,Arpc4,ENSMUSG00000079426
bacterial.invasion.of.epithelial.cells,Sept12,ENSMUSG00000022542
bacterial.invasion.of.epithelial.cells,Mad2l2,ENSMUSG00000029003
bacterial.invasion.of.epithelial.cells,Wasl,ENSMUSG00000029684
bacterial.invasion.of.epithelial.cells,Arpc5l,ENSMUSG00000026755
bacterial.invasion.of.epithelial.cells,Cltb,ENSMUSG00000047547
bacterial.invasion.of.epithelial.cells,Arpc2,ENSMUSG00000006304
bacterial.invasion.of.epithelial.cells,Arhgap10,ENSMUSG00000037148
bacterial.invasion.of.epithelial.cells,Cblc,ENSMUSG00000040525
bacterial.invasion.of.epithelial.cells,Wasf1,ENSMUSG00000019831
